epoch_global_step,stage,logging_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,vram_gb
199,stage1,0,0.7262903471291066,0.711617303788662,0.0,0.7262903471291066,9.47481
399,stage1,1,0.4782837736606598,0.5526043604314327,0.0,0.4782837736606598,9.4755
599,stage1,2,0.40198184460401537,0.5012713068723679,0.0,0.40198184460401537,9.4755
799,stage1,3,0.36730166360735894,0.4797104170918465,0.0,0.36730166360735894,9.4755
999,stage1,4,0.34898087464272975,0.4659995687007904,0.0,0.34898087464272975,9.4755
1199,stage1,5,0.3257583418488503,0.4559526088833809,0.0,0.3257583418488503,9.4755
1399,stage1,6,0.3127225312590599,0.44467103585600853,0.0,0.3127225312590599,9.4755
1599,stage1,7,0.3028896378725767,0.44084642693400383,0.0,0.3028896378725767,9.4755
1849,stage2,9,0.2814037664234638,0.42735028102993966,0.0,0.2814037664234638,50.328535
2049,stage2,10,0.26805385820567607,0.41917832523584364,0.0,0.26805385820567607,50.33284
2249,stage2,11,0.25344869539141657,0.4117028488218784,0.0,0.25344869539141657,50.332005
2449,stage2,12,0.23153790578246117,0.3982496237754822,0.0,0.23153790578246117,50.330375000000004
2649,stage2,13,0.21388218730688094,0.38632836923003194,0.0,0.21388218730688094,50.329595
2849,stage2,14,0.19746802121400833,0.37686401829123495,0.0,0.19746802121400833,50.328995000000006
3049,stage2,15,0.1782338823378086,0.3628903819620609,0.0,0.1782338823378086,50.32951
3249,stage2,16,0.1673712868988514,0.355901925265789,0.0,0.1673712868988514,50.329404999999994
3449,stage2,17,0.15875879514962435,0.3481089848279953,0.0,0.15875879514962435,50.328575
3649,stage2,18,0.14962354268878697,0.34167849317193033,0.0,0.14962354268878697,50.32867
3849,stage2,19,0.14110725823789835,0.3366453249752521,0.0,0.14110725823789835,50.329364999999996
4049,stage2,20,0.12931099962443113,0.3260059106349945,0.0,0.12931099962443113,50.330214999999995
4249,stage2,21,0.12398774668574333,0.31993171364068984,0.0,0.12398774668574333,50.330285
4449,stage2,22,0.11930073823779822,0.3170078766345978,0.0,0.11930073823779822,50.330389999999994
4649,stage2,23,0.11600717790424823,0.3117609685659409,0.0,0.11600717790424823,50.3293
4849,stage2,24,0.1126843237131834,0.3092578250169754,0.0,0.1126843237131834,50.330295
5049,stage2,25,0.10562375713139772,0.3034357324242592,0.0,0.10562375713139772,50.329539999999994
5249,stage2,26,0.10080503180623054,0.2969528256356716,0.0,0.10080503180623054,50.329245
5449,stage2,27,0.09923767562955618,0.29673694491386415,0.0,0.09923767562955618,50.32836
5649,stage2,28,0.09501826371997595,0.29308026179671287,0.0,0.09501826371997595,50.328705
5849,stage2,29,0.09286357562988996,0.29175918474793433,0.0,0.09286357562988996,50.328289999999996
6049,stage2,30,0.09057791586965322,0.2888640721142292,0.0,0.09057791586965322,50.32816
6249,stage2,31,0.0853918981552124,0.28114642269909385,0.0,0.0853918981552124,50.326724999999996
6449,stage2,32,0.08520282458513975,0.28234471336007116,0.0,0.08520282458513975,50.327915000000004
6649,stage2,33,0.08213778220117092,0.27878589287400246,0.0,0.08213778220117092,50.328149999999994
6849,stage2,34,0.08114980092272163,0.27441892862319944,0.0,0.08114980092272163,50.327425000000005
7049,stage2,35,0.07911833178251981,0.27639979116618635,0.0,0.07911833178251981,50.327285
7249,stage2,36,0.07739036247134208,0.2723895416408777,0.0,0.07739036247134208,50.326930000000004
7449,stage2,37,0.07352954000234604,0.26963892146945,0.0,0.07352954000234604,50.326875
7649,stage2,38,0.072904686704278,0.2687096007168293,0.0,0.072904686704278,50.326890000000006
7849,stage2,39,0.07137116398662328,0.26634500853717324,0.0,0.07137116398662328,50.326835
