[stage2] step   6449 | mse=0.0886 L1=0.2707 PH=0.3470 total=0.0955 | VRAM=50.3GB | 0.640s/it
[stage2] step   6649 | mse=0.0851 L1=0.2679 PH=0.3401 total=0.0919 | VRAM=50.3GB | 0.640s/it
[stage2] step   6849 | mse=0.0845 L1=0.2642 PH=0.3340 total=0.0912 | VRAM=50.3GB | 0.639s/it
[stage2] step   7049 | mse=0.0822 L1=0.2637 PH=0.3332 total=0.0888 | VRAM=50.3GB | 0.638s/it
[stage2] step   7249 | mse=0.0811 L1=0.2610 PH=0.3226 total=0.0875 | VRAM=50.3GB | 0.639s/it
[stage2] step   7449 | mse=0.0773 L1=0.2562 PH=0.3172 total=0.0837 | VRAM=50.3GB | 0.641s/it
[stage2] step   7649 | mse=0.0767 L1=0.2560 PH=0.3085 total=0.0829 | VRAM=50.3GB | 0.641s/it
[stage2] step   7849 | mse=0.0748 L1=0.2535 PH=0.3092 total=0.0810 | VRAM=50.3GB | 0.640s/it
[stage2] step   8049 | mse=0.0738 L1=0.2514 PH=0.3027 total=0.0799 | VRAM=50.3GB | 0.639s/it
[stage2] step   8249 | mse=0.0727 L1=0.2516 PH=0.3043 total=0.0788 | VRAM=50.3GB | 0.639s/it
[stage2] step   8449 | mse=0.0701 L1=0.2443 PH=0.2913 total=0.0759 | VRAM=50.3GB | 0.640s/it
[stage2] step   8649 | mse=0.0687 L1=0.2446 PH=0.2865 total=0.0745 | VRAM=50.3GB | 0.640s/it
[stage2] step   8849 | mse=0.0683 L1=0.2440 PH=0.2869 total=0.0741 | VRAM=50.3GB | 0.640s/it
[stage2] step   9049 | mse=0.0674 L1=0.2428 PH=0.2845 total=0.0731 | VRAM=50.3GB | 0.639s/it
[stage2] step   9249 | mse=0.0660 L1=0.2410 PH=0.2874 total=0.0717 | VRAM=50.3GB | 0.641s/it
[stage2] step   9449 | mse=0.0645 L1=0.2390 PH=0.2774 total=0.0701 | VRAM=50.3GB | 0.639s/it
[stage2] step   9649 | mse=0.0620 L1=0.2334 PH=0.2693 total=0.0674 | VRAM=50.3GB | 0.641s/it
