[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet dataset=lerobot/libero_spatial_image -> act_results/Spatial/runs/act_deeponet
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 83.5 GB for 52970 items (avail 256 GB)
[ramcache] 10000/52970  (166s)
[ramcache] 20000/52970  (312s)
[ramcache] 30000/52970  (459s)
[ramcache] 40000/52970  (605s)
[ramcache] 50000/52970  (751s)
[ramcache] cached 52970 items in 12.6 min
[train] params=60.71M frames=52970 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act_deeponet] step   9400 | l1=0.1393 total=0.182 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step   9600 | l1=0.1376 total=0.174 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step   9800 | l1=0.1354 total=0.170 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  10000 | l1=0.1358 total=0.177 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[ckpt] saved -> act_results/Spatial/runs/act_deeponet/checkpoints/10000 (EMA weights)
[act_deeponet] step  10200 | l1=0.1341 total=0.186 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  10400 | l1=0.1331 total=0.160 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  10600 | l1=0.1322 total=0.235 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  10800 | l1=0.1307 total=0.213 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  11000 | l1=0.1292 total=0.186 phgate=- act=0 | VRAM=6.41GB | 0.074s/it
[act_deeponet] step  11200 | l1=0.1294 total=0.188 phgate=- act=0 | VRAM=6.41GB | 0.078s/it
[act_deeponet] step  11400 | l1=0.1290 total=0.202 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  11600 | l1=0.1276 total=0.177 phgate=- act=0 | VRAM=6.41GB | 0.077s/it
[act_deeponet] step  11800 | l1=0.1264 total=0.197 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  12000 | l1=0.1253 total=0.179 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step  12200 | l1=0.1252 total=0.173 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  12400 | l1=0.1235 total=0.185 phgate=- act=0 | VRAM=6.41GB | 0.074s/it
[act_deeponet] step  12600 | l1=0.1225 total=0.176 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  12800 | l1=0.1234 total=0.155 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  13000 | l1=0.1224 total=0.186 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  13200 | l1=0.1206 total=0.184 phgate=- act=0 | VRAM=6.41GB | 0.075s/it
[act_deeponet] step  13400 | l1=0.1201 total=0.180 phgate=- act=0 | VRAM=6.41GB | 0.075s/it
[act_deeponet] step  13600 | l1=0.1200 total=0.171 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  13800 | l1=0.1184 total=0.181 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
