[train] variant=act dataset=lerobot/libero_spatial_image -> act_results/Spatial/runs/act
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[train] params=88.28M frames=52970 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act] step  10800 | l1=0.0816 total=0.124 phgate=- act=0 | VRAM=9.27GB | 0.106s/it
[act] step  11000 | l1=0.0811 total=0.142 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  11200 | l1=0.0804 total=0.130 phgate=- act=0 | VRAM=9.27GB | 21.585s/it
[act] step  11400 | l1=0.0797 total=0.148 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step  11600 | l1=0.0782 total=0.134 phgate=- act=0 | VRAM=9.27GB | 0.108s/it
[act] step  11800 | l1=0.0778 total=0.129 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step  12000 | l1=0.0780 total=0.140 phgate=- act=0 | VRAM=9.27GB | 20.733s/it
[act] step  12200 | l1=0.0765 total=0.115 phgate=- act=0 | VRAM=9.27GB | 0.114s/it
[act] step  12400 | l1=0.0768 total=0.141 phgate=- act=0 | VRAM=9.27GB | 0.096s/it
[act] step  12600 | l1=0.0755 total=0.111 phgate=- act=0 | VRAM=9.27GB | 0.106s/it
[act] step  12800 | l1=0.0755 total=0.116 phgate=- act=0 | VRAM=9.27GB | 0.109s/it
[act] step  13000 | l1=0.0746 total=0.134 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  13200 | l1=0.0739 total=0.113 phgate=- act=0 | VRAM=9.27GB | 0.097s/it
[act] step  13400 | l1=0.0733 total=0.133 phgate=- act=0 | VRAM=9.27GB | 0.109s/it
[act] step  13600 | l1=0.0725 total=0.140 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  13800 | l1=0.0736 total=0.156 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  14000 | l1=0.0725 total=0.130 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  14200 | l1=0.0716 total=0.112 phgate=- act=0 | VRAM=9.27GB | 0.097s/it
[act] step  14400 | l1=0.0718 total=0.112 phgate=- act=0 | VRAM=9.27GB | 0.095s/it
