[train] num_workers -> 48 (cores=56)
[train] variant=act dataset=lerobot/libero_goal_image -> act_results/Goal/runs/act
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 82.0 GB for 52042 items (avail 254 GB)
[ramcache] 10000/52042  (164s)
[ramcache] 20000/52042  (303s)
[ramcache] 30000/52042  (443s)
[ramcache] 40000/52042  (582s)
[ramcache] 50000/52042  (711s)
[ramcache] cached 52042 items in 11.9 min
[train] params=88.28M frames=52042 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act] step  10200 | l1=0.0769 total=0.141 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  10400 | l1=0.0764 total=0.132 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  10600 | l1=0.0755 total=0.137 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  10800 | l1=0.0741 total=0.133 phgate=- act=0 | VRAM=9.27GB | 0.090s/it
[act] step  11000 | l1=0.0745 total=0.128 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  11200 | l1=0.0730 total=0.132 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  11400 | l1=0.0726 total=0.134 phgate=- act=0 | VRAM=9.27GB | 0.116s/it
[act] step  11600 | l1=0.0718 total=0.160 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  11800 | l1=0.0714 total=0.112 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  12000 | l1=0.0705 total=0.124 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  12200 | l1=0.0707 total=0.119 phgate=- act=0 | VRAM=9.27GB | 0.111s/it
[act] step  12400 | l1=0.0696 total=0.126 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  12600 | l1=0.0691 total=0.147 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step  12800 | l1=0.0687 total=0.161 phgate=- act=0 | VRAM=9.27GB | 0.108s/it
[act] step  13000 | l1=0.0683 total=0.081 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  13200 | l1=0.0674 total=0.120 phgate=- act=0 | VRAM=9.27GB | 0.097s/it
[act] step  13400 | l1=0.0671 total=0.120 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  13600 | l1=0.0672 total=0.130 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  13800 | l1=0.0662 total=0.157 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  14000 | l1=0.0664 total=0.120 phgate=- act=0 | VRAM=9.27GB | 0.109s/it
[act] step  14200 | l1=0.0653 total=0.131 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  14400 | l1=0.0651 total=0.139 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  14600 | l1=0.0651 total=0.140 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  14800 | l1=0.0642 total=0.115 phgate=- act=0 | VRAM=9.27GB | 0.097s/it
[act] step  15000 | l1=0.0642 total=0.126 phgate=- act=0 | VRAM=9.27GB | 0.097s/it
[ckpt] saved -> act_results/Goal/runs/act/checkpoints/15000 (EMA weights)
[act] step  15200 | l1=0.0636 total=0.121 phgate=- act=0 | VRAM=9.27GB | 0.097s/it
[act] step  15400 | l1=0.0631 total=0.129 phgate=- act=0 | VRAM=9.27GB | 0.098s/it
[act] step  15600 | l1=0.0621 total=0.108 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step  15800 | l1=0.0629 total=0.162 phgate=- act=0 | VRAM=9.27GB | 0.096s/it
[act] step  16000 | l1=0.0623 total=0.118 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  16200 | l1=0.0619 total=0.103 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  16400 | l1=0.0617 total=0.105 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  16600 | l1=0.0612 total=0.133 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  16800 | l1=0.0608 total=0.124 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  17000 | l1=0.0608 total=0.143 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  17200 | l1=0.0595 total=0.103 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  17400 | l1=0.0594 total=0.092 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  17600 | l1=0.0593 total=0.151 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  17800 | l1=0.0594 total=0.111 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  18000 | l1=0.0587 total=0.101 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  18200 | l1=0.0582 total=0.111 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  18400 | l1=0.0579 total=0.139 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  18600 | l1=0.0577 total=0.168 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  18800 | l1=0.0572 total=0.105 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step  19000 | l1=0.0575 total=0.108 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  19200 | l1=0.0567 total=0.135 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  19400 | l1=0.0566 total=0.125 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  19600 | l1=0.0566 total=0.143 phgate=- act=0 | VRAM=9.27GB | 0.098s/it
[act] step  19800 | l1=0.0565 total=0.139 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  20000 | l1=0.0560 total=0.127 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[ckpt] saved -> act_results/Goal/runs/act/checkpoints/20000 (EMA weights)
[act] step  20200 | l1=0.0559 total=0.138 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  20400 | l1=0.0558 total=0.137 phgate=- act=0 | VRAM=9.27GB | 0.096s/it
[act] step  20600 | l1=0.0554 total=0.110 phgate=- act=0 | VRAM=9.27GB | 0.106s/it
[act] step  20800 | l1=0.0550 total=0.127 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  21000 | l1=0.0551 total=0.108 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  21200 | l1=0.0546 total=0.124 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  21400 | l1=0.0544 total=0.108 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  21600 | l1=0.0550 total=0.104 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  21800 | l1=0.0542 total=0.086 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  22000 | l1=0.0538 total=0.136 phgate=- act=0 | VRAM=9.27GB | 0.098s/it
[act] step  22200 | l1=0.0537 total=0.108 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  22400 | l1=0.0530 total=0.083 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  22600 | l1=0.0529 total=0.105 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  22800 | l1=0.0529 total=0.089 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  23000 | l1=0.0520 total=0.093 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  23200 | l1=0.0528 total=0.107 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  23400 | l1=0.0525 total=0.096 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  23600 | l1=0.0523 total=0.105 phgate=- act=0 | VRAM=9.27GB | 0.098s/it
[act] step  23800 | l1=0.0517 total=0.124 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  24000 | l1=0.0525 total=0.104 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  24200 | l1=0.0517 total=0.140 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  24400 | l1=0.0511 total=0.124 phgate=- act=0 | VRAM=9.27GB | 0.088s/it
