[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet dataset=lerobot/libero_goal_image -> act_results/Goal/runs/act_deeponet
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 82.0 GB for 52042 items (avail 254 GB)
[ramcache] 10000/52042  (171s)
[ramcache] 20000/52042  (318s)
[ramcache] 30000/52042  (465s)
[ramcache] 40000/52042  (612s)
[ramcache] 50000/52042  (747s)
[ramcache] cached 52042 items in 12.5 min
[train] params=60.71M frames=52042 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act_deeponet] step   9400 | l1=0.1227 total=0.179 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step   9600 | l1=0.1200 total=0.177 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step   9800 | l1=0.1187 total=0.190 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  10000 | l1=0.1173 total=0.166 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[ckpt] saved -> act_results/Goal/runs/act_deeponet/checkpoints/10000 (EMA weights)
[act_deeponet] step  10200 | l1=0.1162 total=0.154 phgate=- act=0 | VRAM=6.41GB | 0.077s/it
[act_deeponet] step  10400 | l1=0.1157 total=0.165 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  10600 | l1=0.1147 total=0.176 phgate=- act=0 | VRAM=6.41GB | 0.085s/it
[act_deeponet] step  10800 | l1=0.1140 total=0.172 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  11000 | l1=0.1129 total=0.176 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  11200 | l1=0.1130 total=0.168 phgate=- act=0 | VRAM=6.41GB | 0.085s/it
[act_deeponet] step  11400 | l1=0.1108 total=0.190 phgate=- act=0 | VRAM=6.41GB | 0.093s/it
[act_deeponet] step  11600 | l1=0.1103 total=0.171 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  11800 | l1=0.1110 total=0.175 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  12000 | l1=0.1085 total=0.163 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  12200 | l1=0.1081 total=0.183 phgate=- act=0 | VRAM=6.41GB | 0.085s/it
[act_deeponet] step  12400 | l1=0.1075 total=0.159 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  12600 | l1=0.1067 total=0.174 phgate=- act=0 | VRAM=6.41GB | 0.077s/it
[act_deeponet] step  12800 | l1=0.1059 total=0.170 phgate=- act=0 | VRAM=6.41GB | 0.074s/it
[act_deeponet] step  13000 | l1=0.1064 total=0.159 phgate=- act=0 | VRAM=6.41GB | 0.073s/it
