[stage2] step   6449 | mse=0.1443 L1=0.3014 PH=0.0000 total=0.1443 | VRAM=50.3GB | 0.635s/it
[stage2] step   6649 | mse=0.1428 L1=0.2987 PH=0.0000 total=0.1428 | VRAM=50.3GB | 0.637s/it
[stage2] step   6849 | mse=0.1386 L1=0.2949 PH=0.0000 total=0.1386 | VRAM=50.3GB | 0.635s/it
[stage2] step   7049 | mse=0.1352 L1=0.2932 PH=0.0000 total=0.1352 | VRAM=50.3GB | 0.634s/it
[stage2] step   7249 | mse=0.1333 L1=0.2896 PH=0.0000 total=0.1333 | VRAM=50.3GB | 0.635s/it
[stage2] step   7449 | mse=0.1291 L1=0.2862 PH=0.0000 total=0.1291 | VRAM=50.3GB | 0.637s/it
[stage2] step   7649 | mse=0.1283 L1=0.2854 PH=0.0000 total=0.1283 | VRAM=50.3GB | 0.641s/it
[stage2] step   7849 | mse=0.1255 L1=0.2811 PH=0.0000 total=0.1255 | VRAM=50.3GB | 0.636s/it
[stage2] step   8049 | mse=0.1200 L1=0.2769 PH=0.0000 total=0.1200 | VRAM=50.3GB | 0.634s/it
[stage2] step   8249 | mse=0.1140 L1=0.2709 PH=0.0000 total=0.1140 | VRAM=50.3GB | 0.634s/it
[stage2] step   8449 | mse=0.1133 L1=0.2697 PH=0.0000 total=0.1133 | VRAM=50.3GB | 0.635s/it
[stage2] step   8649 | mse=0.1107 L1=0.2675 PH=0.0000 total=0.1107 | VRAM=50.3GB | 0.635s/it
[stage2] step   8849 | mse=0.1111 L1=0.2658 PH=0.0000 total=0.1111 | VRAM=50.3GB | 0.636s/it
[stage2] step   9049 | mse=0.1091 L1=0.2650 PH=0.0000 total=0.1091 | VRAM=50.3GB | 0.635s/it
[stage2] step   9249 | mse=0.1070 L1=0.2624 PH=0.0000 total=0.1070 | VRAM=50.3GB | 0.634s/it
[stage2] step   9449 | mse=0.1046 L1=0.2588 PH=0.0000 total=0.1046 | VRAM=50.3GB | 0.634s/it
[stage2] step   9649 | mse=0.1040 L1=0.2587 PH=0.0000 total=0.1040 | VRAM=50.3GB | 0.634s/it
[stage2] step   9849 | mse=0.1020 L1=0.2572 PH=0.0000 total=0.1020 | VRAM=50.3GB | 0.636s/it
[stage2] step  10049 | mse=0.1005 L1=0.2552 PH=0.0000 total=0.1005 | VRAM=50.3GB | 0.635s/it
[stage2] step  10249 | mse=0.0949 L1=0.2483 PH=0.0000 total=0.0949 | VRAM=50.3GB | 0.634s/it
[stage2] step  10449 | mse=0.0933 L1=0.2456 PH=0.0000 total=0.0933 | VRAM=50.3GB | 0.633s/it
[stage2] step  10649 | mse=0.0927 L1=0.2464 PH=0.0000 total=0.0927 | VRAM=50.3GB | 0.634s/it
[stage2] step  10849 | mse=0.0904 L1=0.2448 PH=0.0000 total=0.0904 | VRAM=50.3GB | 0.634s/it
[stage2] step  11049 | mse=0.0909 L1=0.2452 PH=0.0000 total=0.0909 | VRAM=50.3GB | 0.635s/it
[stage2] step  11249 | mse=0.0908 L1=0.2436 PH=0.0000 total=0.0908 | VRAM=50.3GB | 0.635s/it
[stage2] step  11449 | mse=0.0885 L1=0.2421 PH=0.0000 total=0.0885 | VRAM=50.3GB | 0.634s/it
[stage2] step  11649 | mse=0.0883 L1=0.2399 PH=0.0000 total=0.0883 | VRAM=50.3GB | 0.633s/it
[ckpt] saved -> deeponet_results/Long/runs/m3_s0/checkpoints/11650  (EMA weights)
[stage2] step  11849 | mse=0.0865 L1=0.2380 PH=0.0000 total=0.0865 | VRAM=50.3GB | 0.634s/it
[stage2] step  12049 | mse=0.0870 L1=0.2373 PH=0.0000 total=0.0870 | VRAM=50.3GB | 0.634s/it
[stage2] step  12249 | mse=0.0849 L1=0.2363 PH=0.0000 total=0.0849 | VRAM=50.3GB | 0.633s/it
[stage2] step  12449 | mse=0.0810 L1=0.2303 PH=0.0000 total=0.0810 | VRAM=50.3GB | 0.634s/it
[stage2] step  12649 | mse=0.0790 L1=0.2304 PH=0.0000 total=0.0790 | VRAM=50.3GB | 0.633s/it
[stage2] step  12849 | mse=0.0793 L1=0.2302 PH=0.0000 total=0.0793 | VRAM=50.3GB | 0.632s/it
[stage2] step  13049 | mse=0.0780 L1=0.2265 PH=0.0000 total=0.0780 | VRAM=50.3GB | 0.633s/it
[stage2] step  13249 | mse=0.0780 L1=0.2272 PH=0.0000 total=0.0780 | VRAM=50.3GB | 0.632s/it
[stage2] step  13449 | mse=0.0776 L1=0.2279 PH=0.0000 total=0.0776 | VRAM=50.3GB | 0.633s/it
[stage2] step  13649 | mse=0.0769 L1=0.2270 PH=0.0000 total=0.0769 | VRAM=50.3GB | 0.635s/it
[stage2] step  13849 | mse=0.0756 L1=0.2256 PH=0.0000 total=0.0756 | VRAM=50.3GB | 0.633s/it
[stage2] step  14049 | mse=0.0763 L1=0.2230 PH=0.0000 total=0.0763 | VRAM=50.3GB | 0.631s/it
[stage2] step  14249 | mse=0.0752 L1=0.2240 PH=0.0000 total=0.0752 | VRAM=50.3GB | 0.633s/it
[stage2] step  14449 | mse=0.0726 L1=0.2199 PH=0.0000 total=0.0726 | VRAM=50.3GB | 0.633s/it
[stage2] step  14649 | mse=0.0703 L1=0.2182 PH=0.0000 total=0.0703 | VRAM=50.3GB | 0.730s/it
[stage2] step  14849 | mse=0.0691 L1=0.2179 PH=0.0000 total=0.0691 | VRAM=50.3GB | 1.228s/it
[stage2] step  15049 | mse=0.0711 L1=0.2180 PH=0.0000 total=0.0711 | VRAM=50.3GB | 1.827s/it
[stage2] step  15249 | mse=0.0695 L1=0.2159 PH=0.0000 total=0.0695 | VRAM=50.3GB | 2.826s/it
[stage2] step  15449 | mse=0.0689 L1=0.2156 PH=0.0000 total=0.0689 | VRAM=50.3GB | 4.143s/it
[stage2] step  15649 | mse=0.0695 L1=0.2151 PH=0.0000 total=0.0695 | VRAM=50.3GB | 4.121s/it
[stage2] step  15849 | mse=0.0680 L1=0.2128 PH=0.0000 total=0.0680 | VRAM=50.3GB | 4.085s/it
[stage2] step  16049 | mse=0.0678 L1=0.2131 PH=0.0000 total=0.0678 | VRAM=50.3GB | 4.215s/it
[stage2] step  16249 | mse=0.0669 L1=0.2116 PH=0.0000 total=0.0669 | VRAM=50.3GB | 4.123s/it
[stage2] step  16449 | mse=0.0666 L1=0.2106 PH=0.0000 total=0.0666 | VRAM=50.3GB | 4.021s/it
[stage2] step  16649 | mse=0.0638 L1=0.2057 PH=0.0000 total=0.0638 | VRAM=50.3GB | 3.596s/it
[stage2] step  16849 | mse=0.0639 L1=0.2087 PH=0.0000 total=0.0639 | VRAM=50.3GB | 1.871s/it
[stage2] step  17049 | mse=0.0632 L1=0.2070 PH=0.0000 total=0.0632 | VRAM=50.3GB | 0.865s/it
[stage2] step  17249 | mse=0.0631 L1=0.2078 PH=0.0000 total=0.0631 | VRAM=50.3GB | 0.636s/it
[stage2] step  17449 | mse=0.0623 L1=0.2059 PH=0.0000 total=0.0623 | VRAM=50.3GB | 0.635s/it
[stage2] step  17649 | mse=0.0628 L1=0.2053 PH=0.0000 total=0.0628 | VRAM=50.3GB | 0.635s/it
[stage2] step  17849 | mse=0.0631 L1=0.2077 PH=0.0000 total=0.0631 | VRAM=50.3GB | 0.636s/it
[stage2] step  18049 | mse=0.0622 L1=0.2041 PH=0.0000 total=0.0622 | VRAM=50.3GB | 0.637s/it
[stage2] step  18249 | mse=0.0619 L1=0.2060 PH=0.0000 total=0.0619 | VRAM=50.3GB | 0.638s/it
[stage2] step  18449 | mse=0.0615 L1=0.2036 PH=0.0000 total=0.0615 | VRAM=50.3GB | 0.636s/it
[stage2] step  18649 | mse=0.0598 L1=0.2022 PH=0.0000 total=0.0598 | VRAM=50.3GB | 0.634s/it
[stage2] step  18849 | mse=0.0575 L1=0.1987 PH=0.0000 total=0.0575 | VRAM=50.3GB | 0.634s/it
[stage2] step  19049 | mse=0.0582 L1=0.1987 PH=0.0000 total=0.0582 | VRAM=50.3GB | 0.635s/it
[stage2] step  19249 | mse=0.0582 L1=0.1976 PH=0.0000 total=0.0582 | VRAM=50.3GB | 0.636s/it
[stage2] step  19449 | mse=0.0574 L1=0.2005 PH=0.0000 total=0.0574 | VRAM=50.3GB | 0.636s/it
[stage2] step  19649 | mse=0.0573 L1=0.1974 PH=0.0000 total=0.0573 | VRAM=50.3GB | 0.637s/it
[stage2] step  19849 | mse=0.0575 L1=0.1983 PH=0.0000 total=0.0575 | VRAM=50.3GB | 0.634s/it
[stage2] step  20049 | mse=0.0571 L1=0.1969 PH=0.0000 total=0.0571 | VRAM=50.3GB | 0.639s/it
[stage2] step  20249 | mse=0.0565 L1=0.1960 PH=0.0000 total=0.0565 | VRAM=50.3GB | 0.635s/it
[stage2] step  20449 | mse=0.0563 L1=0.1952 PH=0.0000 total=0.0563 | VRAM=50.3GB | 0.635s/it
[stage2] step  20649 | mse=0.0567 L1=0.1976 PH=0.0000 total=0.0567 | VRAM=50.3GB | 0.635s/it
