[stage2] step   6449 | mse=0.1444 L1=0.2943 PH=0.5168 total=0.1548 | VRAM=50.3GB | 0.633s/it
[stage2] step   6649 | mse=0.1442 L1=0.2923 PH=0.5071 total=0.1543 | VRAM=50.3GB | 0.632s/it
[stage2] step   6849 | mse=0.1391 L1=0.2878 PH=0.5053 total=0.1492 | VRAM=50.3GB | 0.632s/it
[stage2] step   7049 | mse=0.1367 L1=0.2871 PH=0.4943 total=0.1466 | VRAM=50.3GB | 0.633s/it
[stage2] step   7249 | mse=0.1344 L1=0.2831 PH=0.4856 total=0.1441 | VRAM=50.3GB | 0.634s/it
[stage2] step   7449 | mse=0.1300 L1=0.2797 PH=0.4746 total=0.1395 | VRAM=50.3GB | 0.632s/it
[stage2] step   7649 | mse=0.1301 L1=0.2788 PH=0.4695 total=0.1394 | VRAM=50.3GB | 0.632s/it
[stage2] step   7849 | mse=0.1262 L1=0.2744 PH=0.4672 total=0.1355 | VRAM=50.3GB | 0.632s/it
[stage2] step   8049 | mse=0.1221 L1=0.2704 PH=0.4564 total=0.1312 | VRAM=50.3GB | 0.632s/it
[stage2] step   8249 | mse=0.1147 L1=0.2636 PH=0.4308 total=0.1234 | VRAM=50.3GB | 0.635s/it
[stage2] step   8449 | mse=0.1152 L1=0.2637 PH=0.4307 total=0.1239 | VRAM=50.3GB | 0.635s/it
[stage2] step   8649 | mse=0.1115 L1=0.2601 PH=0.4231 total=0.1200 | VRAM=50.3GB | 0.633s/it
[stage2] step   8849 | mse=0.1120 L1=0.2589 PH=0.4136 total=0.1202 | VRAM=50.3GB | 0.633s/it
[stage2] step   9049 | mse=0.1101 L1=0.2585 PH=0.4181 total=0.1184 | VRAM=50.3GB | 0.636s/it
[stage2] step   9249 | mse=0.1077 L1=0.2548 PH=0.4097 total=0.1159 | VRAM=50.3GB | 0.639s/it
[stage2] step   9449 | mse=0.1051 L1=0.2519 PH=0.4041 total=0.1131 | VRAM=50.3GB | 0.635s/it
[stage2] step   9649 | mse=0.1039 L1=0.2508 PH=0.3982 total=0.1118 | VRAM=50.3GB | 0.634s/it
[stage2] step   9849 | mse=0.1022 L1=0.2490 PH=0.3954 total=0.1101 | VRAM=50.3GB | 0.635s/it
[stage2] step  10049 | mse=0.1014 L1=0.2480 PH=0.3953 total=0.1094 | VRAM=50.3GB | 0.636s/it
[stage2] step  10249 | mse=0.0964 L1=0.2410 PH=0.3764 total=0.1039 | VRAM=50.3GB | 0.635s/it
[stage2] step  10449 | mse=0.0945 L1=0.2384 PH=0.3683 total=0.1018 | VRAM=50.3GB | 0.633s/it
[stage2] step  10649 | mse=0.0939 L1=0.2389 PH=0.3691 total=0.1013 | VRAM=50.3GB | 0.635s/it
[stage2] step  10849 | mse=0.0914 L1=0.2372 PH=0.3649 total=0.0987 | VRAM=50.3GB | 0.635s/it
[stage2] step  11049 | mse=0.0910 L1=0.2365 PH=0.3668 total=0.0983 | VRAM=50.3GB | 0.633s/it
[stage2] step  11249 | mse=0.0914 L1=0.2352 PH=0.3626 total=0.0987 | VRAM=50.3GB | 0.633s/it
[stage2] step  11449 | mse=0.0897 L1=0.2343 PH=0.3598 total=0.0969 | VRAM=50.3GB | 0.635s/it
[stage2] step  11649 | mse=0.0900 L1=0.2331 PH=0.3557 total=0.0971 | VRAM=50.3GB | 0.633s/it
[ckpt] saved -> deeponet_results/Long/runs/m4_s0/checkpoints/11650  (EMA weights)
[stage2] step  11849 | mse=0.0869 L1=0.2305 PH=0.3546 total=0.0940 | VRAM=50.3GB | 0.635s/it
[stage2] step  12049 | mse=0.0874 L1=0.2298 PH=0.3491 total=0.0943 | VRAM=50.3GB | 0.635s/it
[stage2] step  12249 | mse=0.0857 L1=0.2288 PH=0.3484 total=0.0927 | VRAM=50.3GB | 0.623s/it
[stage2] step  12449 | mse=0.0815 L1=0.2231 PH=0.3384 total=0.0882 | VRAM=50.3GB | 0.634s/it
[stage2] step  12649 | mse=0.0802 L1=0.2225 PH=0.3354 total=0.0869 | VRAM=50.3GB | 0.634s/it
[stage2] step  12849 | mse=0.0806 L1=0.2220 PH=0.3321 total=0.0873 | VRAM=50.3GB | 0.635s/it
[stage2] step  13049 | mse=0.0799 L1=0.2197 PH=0.3328 total=0.0865 | VRAM=50.3GB | 0.632s/it
[stage2] step  13249 | mse=0.0790 L1=0.2200 PH=0.3303 total=0.0856 | VRAM=50.3GB | 0.634s/it
[stage2] step  13449 | mse=0.0785 L1=0.2192 PH=0.3200 total=0.0849 | VRAM=50.3GB | 0.633s/it
