step,epoch,l1_loss,kld_loss,total_loss,ph_active_frac,ph_gate,lr,vram_gb,step_s
68,0,0.405,0.3844,4.2487,0,-,1.3600000000000002e-05,6.43,0.0738
69,0,0.4014,0.3753,4.1541,0,-,1.3800000000000002e-05,6.43,0.0736
70,0,0.4249,0.4047,4.4721,0,-,1.4000000000000001e-05,6.43,0.0782
71,0,0.4856,0.3567,4.0525,0,-,1.42e-05,6.43,0.0744
72,0,0.4942,0.3463,3.9567,0,-,1.44e-05,6.43,0.0737
73,0,0.4099,0.3589,3.9993,0,-,1.4599999999999999e-05,6.43,0.0904
74,0,0.4575,0.3368,3.8251,0,-,1.48e-05,6.43,0.082
75,0,0.4292,0.3325,3.7538,0,-,1.5e-05,6.42,0.0773
76,0,0.419,0.3525,3.9445,0,-,1.52e-05,6.43,0.0732
77,0,0.4525,0.3342,3.7947,0,-,1.54e-05,6.43,0.0723
78,0,0.4798,0.3287,3.7666,0,-,1.56e-05,6.43,0.0804
79,0,0.4705,0.3278,3.7482,0,-,1.58e-05,6.43,0.0853
80,0,0.4305,0.3135,3.5652,0,-,1.6000000000000003e-05,6.43,0.079
81,0,0.4718,0.3249,3.721,0,-,1.62e-05,6.43,0.085
82,0,0.5138,0.3068,3.5819,0,-,1.6400000000000002e-05,6.43,0.0827
83,0,0.4042,0.3196,3.6007,0,-,1.66e-05,6.43,0.0806
84,0,0.4418,0.3153,3.5947,0,-,1.6800000000000002e-05,6.43,0.0794
85,0,0.4852,0.283,3.3151,0,-,1.7000000000000003e-05,6.43,0.0752
86,0,0.443,0.2962,3.405,0,-,1.7199999999999998e-05,6.43,0.0836
87,0,0.5041,0.28,3.3037,0,-,1.74e-05,6.43,0.0721
88,0,0.4579,0.3069,3.5273,0,-,1.76e-05,6.43,0.0821
89,0,0.4605,0.2803,3.2638,0,-,1.78e-05,6.43,0.0743
90,0,0.4664,0.2864,3.3303,0,-,1.8e-05,6.43,0.0723
91,0,0.4843,0.273,3.2143,0,-,1.8200000000000002e-05,6.43,0.0777
92,0,0.4831,0.2673,3.1557,0,-,1.84e-05,6.43,0.0728
93,0,0.4364,0.2675,3.1116,0,-,1.86e-05,6.43,0.0776
94,0,0.4626,0.2718,3.181,0,-,1.88e-05,6.43,0.075
95,0,0.4544,0.2871,3.3255,0,-,1.9e-05,6.43,0.0758
96,0,0.455,0.2651,3.1063,0,-,1.9200000000000003e-05,6.43,0.0724
97,0,0.4771,0.2749,3.2258,0,-,1.94e-05,6.43,0.0736
98,0,0.4913,0.2525,3.0168,0,-,1.9600000000000002e-05,6.43,0.0807
99,0,0.4597,0.2779,3.2384,0,-,1.9800000000000004e-05,6.43,0.0763
100,0,0.4318,0.2526,2.9581,0,-,2e-05,6.43,0.0744
101,0,0.4596,0.2545,3.0045,0,-,2.0200000000000003e-05,6.43,0.0745
102,0,0.3937,0.2682,3.0756,0,-,2.04e-05,6.44,0.0754
103,0,0.5086,0.2452,2.9608,0,-,2.06e-05,6.43,0.0758
104,0,0.4168,0.2514,2.9306,0,-,2.08e-05,6.43,0.0767
105,0,0.4836,0.2356,2.8391,0,-,2.1e-05,6.43,0.0737
106,0,0.4328,0.2537,2.9694,0,-,2.12e-05,6.43,0.0738
107,0,0.4464,0.2467,2.9137,0,-,2.1400000000000002e-05,6.43,0.076
108,0,0.4512,0.2417,2.8687,0,-,2.16e-05,6.43,0.0721
109,0,0.5073,0.2384,2.8914,0,-,2.18e-05,6.43,0.0731
110,0,0.4807,0.2433,2.914,0,-,2.2000000000000003e-05,6.43,0.0733
111,0,0.4486,0.234,2.7883,0,-,2.22e-05,6.43,0.0774
112,0,0.4599,0.2283,2.743,0,-,2.2400000000000002e-05,6.43,0.0762
113,0,0.4446,0.2471,2.9153,0,-,2.26e-05,6.43,0.0731
114,0,0.4716,0.2283,2.7546,0,-,2.2800000000000002e-05,6.43,0.0732
115,0,0.4022,0.2408,2.8103,0,-,2.3000000000000003e-05,6.43,0.0763
116,0,0.4837,0.2294,2.7773,0,-,2.32e-05,6.43,0.0745
117,0,0.4559,0.2385,2.841,0,-,2.3400000000000003e-05,6.43,0.0796
118,0,0.4386,0.2304,2.7431,0,-,2.36e-05,6.43,0.0737
119,0,0.4818,0.2247,2.7285,0,-,2.38e-05,6.43,0.0722
120,0,0.4817,0.2274,2.7554,0,-,2.4e-05,6.43,0.0773
121,0,0.4932,0.2191,2.6842,0,-,2.4200000000000002e-05,6.43,0.0719
122,0,0.4507,0.2351,2.8015,0,-,2.44e-05,6.43,0.0717
123,0,0.479,0.2196,2.6753,0,-,2.46e-05,6.43,0.0742
124,0,0.4939,0.2198,2.6915,0,-,2.48e-05,6.43,0.074
125,0,0.4506,0.227,2.7201,0,-,2.5e-05,6.43,0.074
126,0,0.3993,0.2316,2.7156,0,-,2.5200000000000003e-05,6.43,0.0758
127,0,0.4307,0.2181,2.6112,0,-,2.54e-05,6.43,0.072
128,0,0.4513,0.2189,2.6403,0,-,2.5600000000000002e-05,6.43,0.075
129,0,0.4407,0.2173,2.614,0,-,2.58e-05,6.43,0.0721
130,0,0.4752,0.2163,2.6387,0,-,2.6000000000000002e-05,6.43,0.0736
131,0,0.4528,0.2182,2.6347,0,-,2.6200000000000003e-05,6.43,0.0807
132,0,0.462,0.2111,2.5735,0,-,2.64e-05,6.43,0.0738
133,0,0.5287,0.2101,2.6297,0,-,2.6600000000000003e-05,6.43,0.0744
134,0,0.4659,0.2083,2.549,0,-,2.6800000000000004e-05,6.43,0.0734
135,0,0.4739,0.2129,2.6028,0,-,2.7000000000000002e-05,6.43,0.076
136,0,0.4613,0.2115,2.5765,0,-,2.7200000000000004e-05,6.43,0.0723
137,0,0.4954,0.2204,2.6994,0,-,2.7400000000000002e-05,6.43,0.0791
138,0,0.4334,0.2179,2.6121,0,-,2.7600000000000003e-05,6.43,0.0721
139,0,0.4548,0.2024,2.4791,0,-,2.7800000000000005e-05,6.43,0.0771
140,0,0.5043,0.1958,2.4622,0,-,2.8000000000000003e-05,6.43,0.0722
141,0,0.5298,0.1991,2.5204,0,-,2.8199999999999998e-05,6.43,0.0745
142,0,0.5024,0.2008,2.51,0,-,2.84e-05,6.43,0.0747
143,0,0.4936,0.2053,2.5469,0,-,2.86e-05,6.43,0.0735
144,0,0.5312,0.2007,2.5384,0,-,2.88e-05,6.43,0.0772
145,0,0.4628,0.1999,2.462,0,-,2.9e-05,6.42,0.0739
146,0,0.4745,0.1965,2.4394,0,-,2.9199999999999998e-05,6.42,0.0747
147,0,0.4798,0.18,2.2795,0,-,2.94e-05,6.43,0.079
148,0,0.441,0.1981,2.4224,0,-,2.96e-05,6.43,0.0778
149,0,0.4964,0.2014,2.5107,0,-,2.98e-05,6.43,0.0749
150,0,0.4482,0.2152,2.6,0,-,3e-05,6.43,0.08
151,0,0.4821,0.2032,2.5142,0,-,3.02e-05,6.43,0.0729
152,0,0.3901,0.2055,2.4451,0,-,3.04e-05,6.43,0.0749
153,0,0.4679,0.1957,2.4248,0,-,3.06e-05,6.43,0.0745
154,0,0.4145,0.2034,2.4483,0,-,3.08e-05,6.43,0.0714
155,0,0.4602,0.1923,2.383,0,-,3.1e-05,6.43,0.0775
156,0,0.4426,0.1855,2.2971,0,-,3.12e-05,6.43,0.0744
157,0,0.4551,0.1897,2.3517,0,-,3.1400000000000004e-05,6.43,0.0781
158,0,0.4844,0.1921,2.4057,0,-,3.16e-05,6.43,0.0765
159,0,0.4473,0.1874,2.3209,0,-,3.18e-05,6.43,0.0785
160,0,0.4664,0.1906,2.3724,0,-,3.2000000000000005e-05,6.43,0.0802
161,0,0.4994,0.1808,2.3078,0,-,3.2200000000000003e-05,6.43,0.0741
162,0,0.4434,0.1876,2.3195,0,-,3.24e-05,6.43,0.077
163,0,0.4423,0.1881,2.3231,0,-,3.26e-05,6.43,0.0789
164,0,0.4905,0.1861,2.3516,0,-,3.2800000000000004e-05,6.43,0.0723
165,0,0.5126,0.1824,2.3369,0,-,3.3e-05,6.43,0.0748
166,0,0.4519,0.1891,2.3428,0,-,3.32e-05,6.43,0.0728
167,0,0.4333,0.1871,2.3045,0,-,3.3400000000000005e-05,6.43,0.0789
168,0,0.4289,0.1798,2.2271,0,-,3.3600000000000004e-05,6.43,0.0746
169,0,0.3803,0.181,2.1901,0,-,3.38e-05,6.43,0.0749
170,0,0.4615,0.1802,2.2634,0,-,3.4000000000000007e-05,6.43,0.0759
171,0,0.476,0.1749,2.2252,0,-,3.4200000000000005e-05,6.43,0.0786
172,0,0.4977,0.1775,2.2726,0,-,3.4399999999999996e-05,6.43,0.0723
173,0,0.4499,0.1788,2.2375,0,-,3.46e-05,6.43,0.0781
174,0,0.4252,0.1784,2.2097,0,-,3.48e-05,6.43,0.0725
175,0,0.512,0.1801,2.3135,0,-,3.5e-05,6.43,0.0778
176,0,0.4706,0.175,2.2209,0,-,3.52e-05,6.43,0.0747
177,0,0.4341,0.1886,2.3204,0,-,3.54e-05,6.43,0.0812
178,0,0.4169,0.174,2.1573,0,-,3.56e-05,6.43,0.0748
179,0,0.4151,0.1866,2.2814,0,-,3.58e-05,6.43,0.0762
180,0,0.4735,0.1675,2.1482,0,-,3.6e-05,6.43,0.0726
181,0,0.438,0.1788,2.2261,0,-,3.62e-05,6.43,0.0729
182,0,0.4737,0.1679,2.1528,0,-,3.6400000000000004e-05,6.43,0.0795
183,0,0.4495,0.167,2.1191,0,-,3.66e-05,6.43,0.0733
184,0,0.4747,0.1764,2.2389,0,-,3.68e-05,6.43,0.0747
185,0,0.4765,0.1723,2.1995,0,-,3.7e-05,6.43,0.0724
186,0,0.475,0.1676,2.151,0,-,3.72e-05,6.43,0.0783
187,0,0.4378,0.1601,2.0383,0,-,3.74e-05,6.43,0.0781
188,0,0.437,0.1648,2.0849,0,-,3.76e-05,6.43,0.0804
189,0,0.41,0.1676,2.0857,0,-,3.7800000000000004e-05,6.43,0.0775
190,0,0.429,0.1749,2.1778,0,-,3.8e-05,6.43,0.0726
191,0,0.4666,0.1639,2.1058,0,-,3.82e-05,6.43,0.0813
192,0,0.4108,0.1679,2.0898,0,-,3.8400000000000005e-05,6.43,0.0785
193,0,0.4594,0.1695,2.1541,0,-,3.86e-05,6.43,0.0735
194,0,0.4731,0.1579,2.0521,0,-,3.88e-05,6.43,0.0776
195,0,0.4728,0.1683,2.1555,0,-,3.9000000000000006e-05,6.43,0.0758
196,0,0.4615,0.1684,2.1457,0,-,3.9200000000000004e-05,6.43,0.0755
197,0,0.4604,0.172,2.1808,0,-,3.94e-05,6.43,0.0778
198,0,0.4142,0.1774,2.188,0,-,3.960000000000001e-05,6.43,0.0738
199,0,0.4986,0.1673,2.172,0,-,3.9800000000000005e-05,6.43,0.0795
200,0,0.4548,0.1664,2.1184,0,-,4e-05,6.43,0.0735
