global_step,stage,dataset_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,lr_head,lr_backbone,vram_gb,grad_norm,step_time_s
0,stage1,0,0.8657227754592896,0.7335224151611328,0.0,0.8657227754592896,0.0001,0.0,9.342,0.1899,10.8091
1,stage1,0,0.8285601735115051,0.7103647589683533,0.0,0.8285601735115051,0.0001,0.0,9.474,0.1752,0.2621
2,stage1,0,0.8509438633918762,0.7144222855567932,0.0,0.8509438633918762,0.0001,0.0,9.473,0.165,0.2735
3,stage1,0,0.8437735438346863,0.7074636220932007,0.0,0.8437735438346863,0.0001,0.0,9.476,0.2489,0.2751
4,stage1,0,0.7862200140953064,0.7264690399169922,0.0,0.7862200140953064,0.0001,0.0,9.473,0.1052,0.2748
5,stage1,0,0.8117523193359375,0.7058683037757874,0.0,0.8117523193359375,0.0001,0.0,9.476,0.2178,0.2751
6,stage1,0,0.8705387115478516,0.7183318138122559,0.0,0.8705387115478516,0.0001,0.0,9.475,0.1628,0.2757
7,stage1,0,0.7724723815917969,0.7016987204551697,0.0,0.7724723815917969,0.0001,0.0,9.477,0.1416,0.2745
8,stage1,0,0.7600521445274353,0.6598020195960999,0.0,0.7600521445274353,0.0001,0.0,9.474,0.0975,6.0867
9,stage1,0,0.7414233684539795,0.6872431635856628,0.0,0.7414233684539795,0.0001,0.0,9.477,0.1331,0.2739
10,stage1,0,1.0289971828460693,0.7679305076599121,0.0,1.0289971828460693,0.0001,0.0,9.474,0.1313,0.2744
11,stage1,0,0.9326155781745911,0.7503789663314819,0.0,0.9326155781745911,0.0001,0.0,9.477,0.1627,0.2752
12,stage1,0,0.9413354396820068,0.7332784533500671,0.0,0.9413354396820068,0.0001,0.0,9.474,0.2142,0.2748
13,stage1,0,0.8033941984176636,0.6987571716308594,0.0,0.8033941984176636,0.0001,0.0,9.477,0.1378,0.2752
14,stage1,0,0.770380437374115,0.6682067513465881,0.0,0.770380437374115,0.0001,0.0,9.474,0.0949,0.2758
15,stage1,0,0.775606632232666,0.6801534295082092,0.0,0.775606632232666,0.0001,0.0,9.477,0.0975,0.2754
16,stage1,0,0.7565915584564209,0.6893940567970276,0.0,0.7565915584564209,0.0001,0.0,9.474,0.2073,7.1172
17,stage1,0,0.7413525581359863,0.6888393759727478,0.0,0.7413525581359863,0.0001,0.0,9.477,0.0815,0.2742
18,stage1,0,0.8119557499885559,0.7001081109046936,0.0,0.8119557499885559,0.0001,0.0,9.474,0.0725,0.2745
19,stage1,0,0.7864277362823486,0.6932001709938049,0.0,0.7864277362823486,0.0001,0.0,9.477,0.075,0.2757
20,stage1,0,0.7516545057296753,0.6794207096099854,0.0,0.7516545057296753,0.0001,0.0,9.474,0.1447,0.2752
21,stage1,0,0.9378244280815125,0.7353636026382446,0.0,0.9378244280815125,0.0001,0.0,9.477,0.0548,0.2754
22,stage1,0,0.7783624529838562,0.6942170858383179,0.0,0.7783624529838562,0.0001,0.0,9.474,0.0915,0.275
23,stage1,0,0.9305463433265686,0.735835075378418,0.0,0.9305463433265686,0.0001,0.0,9.477,0.0784,0.276
24,stage1,0,0.842246949672699,0.7176661491394043,0.0,0.842246949672699,0.0001,0.0,9.474,0.0874,6.9189
25,stage1,0,0.7972412705421448,0.6995432376861572,0.0,0.7972412705421448,0.0001,0.0,9.477,0.0632,0.2756
26,stage1,0,0.8219785690307617,0.702430248260498,0.0,0.8219785690307617,0.0001,0.0,9.474,0.1134,0.2747
27,stage1,0,0.789036750793457,0.7062105536460876,0.0,0.789036750793457,0.0001,0.0,9.477,0.1005,0.2753
28,stage1,0,0.7317590713500977,0.6733502745628357,0.0,0.7317590713500977,0.0001,0.0,9.474,0.0884,0.275
29,stage1,0,0.7233534455299377,0.7037973999977112,0.0,0.7233534455299377,0.0001,0.0,9.477,0.0893,0.2756
30,stage1,0,0.7646369934082031,0.6892098188400269,0.0,0.7646369934082031,0.0001,0.0,9.474,0.0827,0.2754
31,stage1,0,0.6445287466049194,0.6697967648506165,0.0,0.6445287466049194,0.0001,0.0,9.477,0.0855,0.2756
32,stage1,0,0.7764438986778259,0.6741487383842468,0.0,0.7764438986778259,0.0001,0.0,9.474,0.0823,7.0882
33,stage1,0,0.808663010597229,0.7154167890548706,0.0,0.808663010597229,0.0001,0.0,9.477,0.0563,0.2742
34,stage1,0,0.8906936049461365,0.7356725335121155,0.0,0.8906936049461365,0.0001,0.0,9.474,0.1927,0.2753
35,stage1,0,0.708919882774353,0.6854504942893982,0.0,0.708919882774353,0.0001,0.0,9.477,0.0717,0.2754
36,stage1,0,0.8582243919372559,0.7014056444168091,0.0,0.8582243919372559,0.0001,0.0,9.474,0.0975,0.2753
37,stage1,0,0.7815114259719849,0.7012534737586975,0.0,0.7815114259719849,0.0001,0.0,9.477,0.0883,0.2767
38,stage1,0,0.6828945875167847,0.6807949542999268,0.0,0.6828945875167847,0.0001,0.0,9.474,0.1161,0.2755
39,stage1,0,0.7460878491401672,0.6503977179527283,0.0,0.7460878491401672,0.0001,0.0,9.477,0.1667,0.2757
40,stage1,0,0.7846537828445435,0.6884812712669373,0.0,0.7846537828445435,0.0001,0.0,9.474,0.1475,7.0722
41,stage1,0,0.803351104259491,0.7166239023208618,0.0,0.803351104259491,0.0001,0.0,9.477,0.3314,0.2746
42,stage1,0,0.8518936634063721,0.7135175466537476,0.0,0.8518936634063721,0.0001,0.0,9.474,0.2146,0.2751
43,stage1,0,0.8033193349838257,0.7013840675354004,0.0,0.8033193349838257,0.0001,0.0,9.477,0.7415,0.2756
44,stage1,0,0.8824657797813416,0.7266558408737183,0.0,0.8824657797813416,0.0001,0.0,9.474,0.342,0.2754
45,stage1,0,0.6392724514007568,0.6426491141319275,0.0,0.6392724514007568,0.0001,0.0,9.477,0.1352,0.2761
46,stage1,0,0.751777708530426,0.698610782623291,0.0,0.751777708530426,0.0001,0.0,9.474,0.796,0.2757
