epoch_global_step,stage,logging_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,vram_gb
199,stage1,0,0.7194242697954177,0.6553834104537963,2.951340827345848,0.7784510868787765,9.47481
399,stage1,1,0.4959948471188545,0.5157633349299431,1.4353707891702652,0.5247022628784179,9.4755
599,stage1,2,0.4346824258565903,0.4740970543026924,1.2472459068894386,0.4596273429691792,9.4755
799,stage1,3,0.3974730893969536,0.4555248792469502,1.2298292499780654,0.42206967443227766,9.4755
999,stage1,4,0.3762815798819065,0.4449461944401264,1.1937416166067123,0.40015641152858733,9.4755
1199,stage1,5,0.3556956236064434,0.43551042839884757,1.1567624056339263,0.37883087173104285,9.4755
1399,stage1,6,0.3414082362502813,0.4281415057182312,1.0958153864741325,0.3633245438337326,9.4755
1599,stage1,7,0.3272541539371014,0.42271503046154973,1.0808562222123146,0.34887127742171287,9.4755
1849,stage2,9,0.31007404513657094,0.4105162511765957,1.0336888232827186,0.33074782028794286,50.328535
2049,stage2,10,0.3055175901204348,0.40860829293727874,1.0200403192639351,0.32591839618980883,50.33284
2249,stage2,11,0.2938970673829317,0.40257843777537344,0.9793006983399392,0.31348308056592944,50.332005
2449,stage2,12,0.28348081804811953,0.39707503765821456,0.9554220852255821,0.3025892589986324,50.330375000000004
2649,stage2,13,0.27326063588261607,0.38842449709773064,0.9193280366063118,0.29164719581604004,50.329595
2849,stage2,14,0.2609696616977453,0.3808982016146183,0.8916813626885414,0.278803288564086,50.328995000000006
3049,stage2,15,0.25393137745559213,0.37465761542320253,0.879474236369133,0.27152086146175863,50.32951
3249,stage2,16,0.23340587005019187,0.36347268640995023,0.8060671606659889,0.24952721230685712,50.329404999999994
3449,stage2,17,0.23105511523783206,0.36113765463232994,0.8024313929677009,0.2471037432551384,50.328575
3649,stage2,18,0.2207651524245739,0.35411272034049035,0.7765043076872825,0.23629523865878582,50.32867
3849,stage2,19,0.21284440509974956,0.35032101199030874,0.7620058140158653,0.2280845218896866,50.329364999999996
4049,stage2,20,0.2041662749648094,0.3435102200508118,0.7200831860303879,0.21856793843209743,50.330214999999995
4249,stage2,21,0.19812396809458732,0.3385231678187847,0.7093114972114563,0.21231019750237465,50.330285
4449,stage2,22,0.19129757776856424,0.331386141628027,0.6969568428397178,0.20523671433329582,50.330389999999994
4649,stage2,23,0.17520075544714928,0.32127291843295097,0.6393874028325081,0.1879885034263134,50.3293
4849,stage2,24,0.1715482784807682,0.31839873880147934,0.6327143308520317,0.18420256450772285,50.330295
5049,stage2,25,0.16724457271397114,0.3143374103307724,0.6127601999044419,0.1794997760653496,50.329539999999994
5249,stage2,26,0.1601252742856741,0.3084423154592514,0.593058285266161,0.17198643930256366,50.329245
5449,stage2,27,0.15636295810341835,0.3067209455370903,0.5850515170395374,0.16806398842483758,50.32836
5649,stage2,28,0.15121236726641654,0.3014070646464825,0.5770196957886219,0.16275276113301515,50.328705
5849,stage2,29,0.14581560757011175,0.2979914797842503,0.5589762829244137,0.15699513215571642,50.328289999999996
6049,stage2,30,0.1322825000435114,0.2861868464946747,0.5174159406125546,0.1426308186352253,50.32816
6249,stage2,31,0.129211917668581,0.2835861976444721,0.502255468070507,0.13925702687352895,50.326724999999996
6449,stage2,32,0.12625303447246553,0.2812223169952631,0.5077141256630421,0.13640731662511826,50.327915000000004
6649,stage2,33,0.1233535485342145,0.2788514965027571,0.5007502990961075,0.13336855426430702,50.328149999999994
6849,stage2,34,0.11956238936632872,0.2740096182376146,0.4816601084172726,0.1291955914348364,50.327425000000005
7049,stage2,35,0.11456248335540295,0.2697142169624567,0.47276131629943846,0.12401770908385515,50.327285
7249,stage2,36,0.11324070241302252,0.267642458230257,0.4636542716622353,0.12251378785818816,50.326930000000004
7449,stage2,37,0.10302861377596856,0.259336938560009,0.43359029829502105,0.11170041978359223,50.326875
7649,stage2,38,0.10211285829544067,0.2565229170024395,0.4274578113853931,0.11066201459616423,50.326890000000006
7849,stage2,39,0.09891629733145237,0.2540981592237949,0.4255341556668282,0.10742698036134243,50.326835
8049,stage2,40,0.09781106285750867,0.25207903422415257,0.4175120259821415,0.10616130325943232,50.327205000000006
8249,stage2,41,0.09509599968791008,0.2504036302864552,0.41575676649808885,0.10341113448143005,50.325185000000005
8449,stage2,42,0.09244862087070942,0.2466398010402918,0.3997644206881523,0.10044390913099051,50.32566
8649,stage2,43,0.0905038234964013,0.24385768480598927,0.40251886278390886,0.0985542006790638,50.325739999999996
8849,stage2,44,0.0853850782290101,0.23905931554734708,0.3833762358129025,0.09305260263383389,50.326485000000005
9049,stage2,45,0.08388699937611818,0.23698601618409157,0.37114791095256805,0.09130995765328408,50.32722
9249,stage2,46,0.0821510525047779,0.2334924778342247,0.3755329316854477,0.08966171108186245,50.326570000000004
9449,stage2,47,0.08066878836601972,0.23230665273964404,0.3707809227705002,0.08808440651744603,50.32729500000001
9649,stage2,48,0.08089756265282631,0.23113731257617473,0.3631701603531837,0.0881609657779336,50.327645000000004
9849,stage2,49,0.07828038269653917,0.23015616416931153,0.3621340999007225,0.08552306450903416,50.326665000000006
10049,stage2,50,0.07764720112085342,0.22779373861849309,0.3570353162288666,0.08478790745139123,50.327290000000005
10249,stage2,51,0.07279132356867195,0.2238259507715702,0.3402792999893427,0.07959690935909748,50.32767
10449,stage2,52,0.07418999336659908,0.22260807283222675,0.33516466356813907,0.08089328654110432,50.32836
10649,stage2,53,0.07136350881308318,0.22109126046299934,0.33464165970683096,0.07805634191259742,50.327785000000006
10849,stage2,54,0.07095314430072903,0.21934097103774547,0.33360782846808434,0.07762530073523521,50.327780000000004
11049,stage2,55,0.06954060489311814,0.21725588843226432,0.3340295872092247,0.07622119661420584,50.327785000000006
11249,stage2,56,0.06870700694620609,0.21800853841006756,0.3300487808138132,0.07530798247084021,50.32642
11449,stage2,57,0.06709547640755772,0.2138979536294937,0.3241328591108322,0.07357813330367208,50.327034999999995
11649,stage2,58,0.06501225376501679,0.21118480212986468,0.31521580047905445,0.07131656955927611,50.32832500000001
11849,stage2,59,0.06461393302306533,0.21049405373632907,0.31299625128507613,0.07087385794147849,50.327905
12049,stage2,60,0.06402356656268239,0.21110858269035815,0.3146364601701498,0.07031629534438252,50.328334999999996
12249,stage2,61,0.0637533986568451,0.20998075909912586,0.31002572044730187,0.06995391305536032,50.325680000000006
12449,stage2,62,0.06220524339005351,0.20867835350334643,0.3049729512631893,0.06830470230430365,50.326620000000005
12649,stage2,63,0.06143149793148041,0.20648193620145322,0.3026045697927475,0.06748358914628624,50.32647
12849,stage2,64,0.060912824049592015,0.20730405502021312,0.3038227443397045,0.06698927845805884,50.32521
13049,stage2,65,0.058803621511906386,0.20428370356559752,0.29553763672709465,0.06471437398344278,50.324815
13249,stage2,66,0.058085496108978986,0.2022803930938244,0.29449700243771076,0.0639754362218082,50.32736
13449,stage2,67,0.05770193737000227,0.2018820009380579,0.2886146260052919,0.06347422974184155,50.326165
13649,stage2,68,0.057685410454869274,0.20076173596084118,0.28885950811207295,0.0634626005589962,50.326615000000004
13849,stage2,69,0.057037862446159125,0.19935005716979504,0.29039632350206374,0.06284578876569867,50.327025000000006
14049,stage2,70,0.056238145045936105,0.1974444804340601,0.282444172501564,0.061887028478086,50.32743000000001
14249,stage2,71,0.054977769535034894,0.19782627806067465,0.28434122368693354,0.06066459398716688,50.327145
14449,stage2,72,0.05395610205829143,0.19631290912628174,0.2741633697599173,0.05943936923518777,50.326395000000005
14649,stage2,73,0.053221427146345375,0.1955543930083513,0.27799102939665316,0.05878124766051769,50.32634
14849,stage2,74,0.0534690667130053,0.19383983850479125,0.27860040359199045,0.05904107473790646,50.327560000000005
15049,stage2,75,0.052707282472401855,0.19471674598753452,0.271981054097414,0.05814690344035625,50.327355
15249,stage2,76,0.05193003134801984,0.1917966176569462,0.27236369758844375,0.05737730523571372,50.326840000000004
15449,stage2,77,0.05222605796530843,0.1938346253335476,0.27587670341134074,0.05774359187111258,50.32695
15649,stage2,78,0.050934829898178574,0.19141735687851905,0.2683916762471199,0.05630266329273582,50.327794999999995
15849,stage2,79,0.0493928493373096,0.19089614309370517,0.2625758168101311,0.05464436562731862,50.327405
16049,stage2,80,0.049772774577140806,0.18870927579700947,0.26264950811862947,0.055025764647871254,50.327070000000006
16249,stage2,81,0.04925060030072927,0.1890026019513607,0.26453221432864665,0.05454124441370368,50.327415
16449,stage2,82,0.04920997032895684,0.18928902432322503,0.2623437385261059,0.05445684505626559,50.328035
16649,stage2,83,0.04892232727259398,0.18854196436703205,0.255026514083147,0.05402285765856504,50.32813
16849,stage2,84,0.048490908965468406,0.18717855095863342,0.25643660470843316,0.053619640897959474,50.32791
17049,stage2,85,0.047689596135169265,0.18648713521659374,0.25740571722388267,0.052837710473686454,50.327844999999996
17249,stage2,86,0.04680953949689865,0.18593320727348328,0.25412029929459096,0.05189194539561868,50.328495000000004
17449,stage2,87,0.0459687096811831,0.182003206461668,0.24938772909343243,0.05095646416768432,50.327110000000005
