[train] num_workers -> 48 (cores=56)
[train] variant=act dataset=lerobot/libero_10_image -> act_results/Long/runs/act
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 159.9 GB for 101469 items (avail 256 GB)
[ramcache] 10000/101469  (171s)
[ramcache] 20000/101469  (320s)
[ramcache] 30000/101469  (469s)
[ramcache] 40000/101469  (617s)
[ramcache] 50000/101469  (764s)
[ramcache] 60000/101469  (912s)
[ramcache] 70000/101469  (1061s)
[ramcache] 80000/101469  (1206s)
[ramcache] 90000/101469  (1354s)
[ramcache] 100000/101469  (1482s)
[ramcache] cached 101469 items in 24.7 min
[train] params=88.28M frames=101469 batch=64 steps=30000
[act] step  10400 | l1=0.1578 total=0.229 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  10600 | l1=0.1572 total=0.232 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  10800 | l1=0.1563 total=0.204 phgate=- act=0 | VRAM=9.27GB | 0.108s/it
[act] step  11000 | l1=0.1550 total=0.195 phgate=- act=0 | VRAM=9.27GB | 0.107s/it
[act] step  11200 | l1=0.1525 total=0.223 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step  11400 | l1=0.1509 total=0.208 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  11600 | l1=0.1505 total=0.206 phgate=- act=0 | VRAM=9.27GB | 0.107s/it
[act] step  11800 | l1=0.1486 total=0.227 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  12000 | l1=0.1480 total=0.168 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  12200 | l1=0.1479 total=0.190 phgate=- act=0 | VRAM=9.27GB | 0.096s/it
[act] step  12400 | l1=0.1465 total=0.226 phgate=- act=0 | VRAM=9.27GB | 0.108s/it
[act] step  12600 | l1=0.1450 total=0.213 phgate=- act=0 | VRAM=9.27GB | 0.107s/it
[act] step  12800 | l1=0.1423 total=0.229 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  13000 | l1=0.1419 total=0.211 phgate=- act=0 | VRAM=9.27GB | 0.106s/it
[act] step  13200 | l1=0.1416 total=0.199 phgate=- act=0 | VRAM=9.27GB | 0.107s/it
[act] step  13400 | l1=0.1410 total=0.197 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
