global_step,stage,dataset_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,lr_head,lr_backbone,vram_gb,grad_norm,step_time_s
0,stage1,0,0.7946085929870605,0.7647305130958557,0.0,0.7946085929870605,0.0001,0.0,9.342,0.1858,11.2327
1,stage1,0,0.8557355403900146,0.7854156494140625,0.0,0.8557355403900146,0.0001,0.0,9.473,0.1203,0.2588
2,stage1,0,0.734900712966919,0.7434172630310059,0.0,0.734900712966919,0.0001,0.0,9.473,0.0965,0.2713
3,stage1,0,0.9285746812820435,0.7868759036064148,0.0,0.9285746812820435,0.0001,0.0,9.476,0.1815,0.2722
4,stage1,0,0.7962157130241394,0.7598540186882019,0.0,0.7962157130241394,0.0001,0.0,9.473,0.1166,0.2719
5,stage1,0,0.7979196906089783,0.7957850694656372,0.0,0.7979196906089783,0.0001,0.0,9.476,0.0912,0.2721
6,stage1,0,0.8273249268531799,0.7836716175079346,0.0,0.8273249268531799,0.0001,0.0,9.475,0.1466,0.2708
7,stage1,0,0.6998507380485535,0.7279265522956848,0.0,0.6998507380485535,0.0001,0.0,9.477,0.1096,0.2716
8,stage1,0,0.8007721900939941,0.7574461102485657,0.0,0.8007721900939941,0.0001,0.0,9.474,0.0963,6.1107
9,stage1,0,0.7012729644775391,0.7604941725730896,0.0,0.7012729644775391,0.0001,0.0,9.477,0.085,0.2708
10,stage1,0,0.8664587736129761,0.7989278435707092,0.0,0.8664587736129761,0.0001,0.0,9.474,0.0742,0.271
11,stage1,0,0.713409960269928,0.7515478134155273,0.0,0.713409960269928,0.0001,0.0,9.477,0.0886,0.2722
12,stage1,0,0.8551426529884338,0.7532647252082825,0.0,0.8551426529884338,0.0001,0.0,9.474,0.075,0.2722
13,stage1,0,0.7915846705436707,0.7703363299369812,0.0,0.7915846705436707,0.0001,0.0,9.477,0.0817,0.2714
14,stage1,0,0.8656375408172607,0.7808305621147156,0.0,0.8656375408172607,0.0001,0.0,9.474,0.0997,0.2719
15,stage1,0,0.906025230884552,0.7917144298553467,0.0,0.906025230884552,0.0001,0.0,9.477,0.1423,0.2723
16,stage1,0,0.848601758480072,0.7937127947807312,0.0,0.848601758480072,0.0001,0.0,9.474,0.0914,7.0966
17,stage1,0,0.891104519367218,0.7816308736801147,0.0,0.891104519367218,0.0001,0.0,9.477,0.0476,0.2715
18,stage1,0,0.790913462638855,0.777199923992157,0.0,0.790913462638855,0.0001,0.0,9.474,0.1035,0.2716
19,stage1,0,0.8111653327941895,0.7518537044525146,0.0,0.8111653327941895,0.0001,0.0,9.477,0.1098,0.2721
20,stage1,0,0.9867861866950989,0.7821273803710938,0.0,0.9867861866950989,0.0001,0.0,9.474,0.1636,0.2725
21,stage1,0,0.7592592835426331,0.7273979783058167,0.0,0.7592592835426331,0.0001,0.0,9.477,0.1226,0.2715
22,stage1,0,0.8282151818275452,0.7856718897819519,0.0,0.8282151818275452,0.0001,0.0,9.474,0.0909,0.2732
23,stage1,0,0.8579270243644714,0.7761682271957397,0.0,0.8579270243644714,0.0001,0.0,9.477,0.1073,0.2724
24,stage1,0,0.8586576581001282,0.7593189477920532,0.0,0.8586576581001282,0.0001,0.0,9.474,0.0967,7.0852
25,stage1,0,0.7259248495101929,0.7512409687042236,0.0,0.7259248495101929,0.0001,0.0,9.477,0.0696,0.2711
26,stage1,0,0.6963040232658386,0.7701892852783203,0.0,0.6963040232658386,0.0001,0.0,9.474,0.0286,0.2724
27,stage1,0,0.7593235969543457,0.7712606191635132,0.0,0.7593235969543457,0.0001,0.0,9.477,0.1384,0.2726
28,stage1,0,0.8489049673080444,0.815284013748169,0.0,0.8489049673080444,0.0001,0.0,9.474,0.1026,0.2733
29,stage1,0,0.8545785546302795,0.7631319761276245,0.0,0.8545785546302795,0.0001,0.0,9.477,0.0851,0.2723
30,stage1,0,0.8206079602241516,0.753120481967926,0.0,0.8206079602241516,0.0001,0.0,9.474,0.1005,0.2722
31,stage1,0,0.9227703213691711,0.8134484887123108,0.0,0.9227703213691711,0.0001,0.0,9.477,0.1127,0.2726
32,stage1,0,0.891340970993042,0.7646470069885254,0.0,0.891340970993042,0.0001,0.0,9.474,0.1924,7.1339
33,stage1,0,0.722399890422821,0.7529162764549255,0.0,0.722399890422821,0.0001,0.0,9.477,0.0861,0.2716
34,stage1,0,0.9493668675422668,0.819079577922821,0.0,0.9493668675422668,0.0001,0.0,9.474,0.1993,0.2726
35,stage1,0,0.772716224193573,0.7528385519981384,0.0,0.772716224193573,0.0001,0.0,9.477,0.0903,0.2727
36,stage1,0,0.7670848369598389,0.7269218564033508,0.0,0.7670848369598389,0.0001,0.0,9.474,0.1115,0.2733
37,stage1,0,0.8615090847015381,0.7703597545623779,0.0,0.8615090847015381,0.0001,0.0,9.477,0.118,0.2721
38,stage1,0,0.8074553608894348,0.782215416431427,0.0,0.8074553608894348,0.0001,0.0,9.474,0.08,0.273
39,stage1,0,0.8429529070854187,0.7583470344543457,0.0,0.8429529070854187,0.0001,0.0,9.477,0.1186,0.2732
40,stage1,0,0.6986574530601501,0.7692031264305115,0.0,0.6986574530601501,0.0001,0.0,9.474,0.1624,7.2181
41,stage1,0,0.8346167206764221,0.752808153629303,0.0,0.8346167206764221,0.0001,0.0,9.477,0.2285,0.2719
42,stage1,0,0.7595316171646118,0.7296999096870422,0.0,0.7595316171646118,0.0001,0.0,9.474,0.4311,0.2735
43,stage1,0,0.746765673160553,0.7355942130088806,0.0,0.746765673160553,0.0001,0.0,9.477,0.2812,0.273
44,stage1,0,0.7187361717224121,0.736339807510376,0.0,0.7187361717224121,0.0001,0.0,9.474,0.6161,0.2738
45,stage1,0,0.9293853640556335,0.7719356417655945,0.0,0.9293853640556335,0.0001,0.0,9.477,0.2711,0.2764
46,stage1,0,0.828969419002533,0.7515994906425476,0.0,0.828969419002533,0.0001,0.0,9.474,0.2098,0.2732
47,stage1,0,0.6615772247314453,0.7261826992034912,0.0,0.6615772247314453,0.0001,0.0,9.477,0.3992,0.273
48,stage1,0,0.7729917168617249,0.7669089436531067,0.0,0.7729917168617249,0.0001,0.0,9.474,0.2814,7.1487
49,stage1,0,0.8051223158836365,0.7864741086959839,0.0,0.8051223158836365,0.0001,0.0,9.477,0.23,0.2724
50,stage1,0,0.8216053247451782,0.7368440628051758,0.0,0.8216053247451782,0.0001,0.0,9.474,0.1404,0.2732
51,stage1,0,0.7840714454650879,0.7488270998001099,0.0,0.7840714454650879,0.0001,0.0,9.477,0.0948,0.2739
52,stage1,0,0.846886157989502,0.743250846862793,0.0,0.846886157989502,0.0001,0.0,9.474,0.0942,0.2726
53,stage1,0,0.7762808799743652,0.769077718257904,0.0,0.7762808799743652,0.0001,0.0,9.477,0.1724,0.2737
54,stage1,0,0.8208685517311096,0.7558631896972656,0.0,0.8208685517311096,0.0001,0.0,9.474,0.1783,0.2729
55,stage1,0,0.8996228575706482,0.7879577875137329,0.0,0.8996228575706482,0.0001,0.0,9.477,0.4794,0.2729
56,stage1,0,0.7618275880813599,0.7611005902290344,0.0,0.7618275880813599,0.0001,0.0,9.474,0.263,7.1583
57,stage1,0,0.7776040434837341,0.7825517058372498,0.0,0.7776040434837341,0.0001,0.0,9.477,0.207,0.2715
58,stage1,0,0.762985110282898,0.7689881324768066,0.0,0.762985110282898,0.0001,0.0,9.474,0.2566,0.2728
59,stage1,0,0.7542001605033875,0.7367851138114929,0.0,0.7542001605033875,0.0001,0.0,9.477,0.3924,0.2733
