epoch_global_step,stage,logging_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,vram_gb
199,stage1,0,0.7362576469779014,0.7209818303585053,0.0,0.7362576469779014,9.246855
399,stage1,1,0.5682101982831955,0.6095585173368454,0.0,0.5682101982831955,9.247
599,stage1,2,0.48636567801237107,0.5602312934398651,0.0,0.48636567801237107,9.247
799,stage1,3,0.45485855102539063,0.5389165891706944,0.0,0.45485855102539063,9.247
999,stage1,4,0.4305151338875294,0.5241495783627034,0.0,0.4305151338875294,9.247
1199,stage1,5,0.4144090302288532,0.5132159389555454,0.0,0.4144090302288532,9.247
1399,stage1,6,0.40078291803598404,0.5064832147955894,0.0,0.40078291803598404,9.247
1599,stage1,7,0.39966596409678457,0.5053490057587624,0.0,0.39966596409678457,9.247
1849,stage2,9,0.3950981174409389,0.5032158403098583,0.0,0.3950981174409389,49.9735
2049,stage2,10,0.3801091524958611,0.49202729552984237,0.0,0.3801091524958611,49.980265
2249,stage2,11,0.36954149588942525,0.4849196027219296,0.0,0.36954149588942525,49.97958
2449,stage2,12,0.35664080068469045,0.47391711369156836,0.0,0.35664080068469045,49.979185
2649,stage2,13,0.344407742023468,0.46979584500193594,0.0,0.344407742023468,49.97871
2849,stage2,14,0.33610681757330896,0.46265906319022176,0.0,0.33610681757330896,49.978615
3049,stage2,15,0.32124739907681943,0.45618423327803614,0.0,0.32124739907681943,49.978325
3249,stage2,16,0.3126446533203125,0.44915694802999495,0.0,0.3126446533203125,49.97812
3449,stage2,17,0.2998896253108978,0.4405109828710556,0.0,0.2998896253108978,49.97867
3649,stage2,18,0.2906034617125988,0.4375078934431076,0.0,0.2906034617125988,49.978975
3849,stage2,19,0.2833833096176386,0.43465883418917656,0.0,0.2833833096176386,49.97859
4049,stage2,20,0.26621657676994803,0.42369603365659714,0.0,0.26621657676994803,49.978575
4249,stage2,21,0.2618415854871273,0.4202378755807877,0.0,0.2618415854871273,49.978045
4449,stage2,22,0.2530382423847914,0.41553459137678145,0.0,0.2530382423847914,49.978365000000004
4649,stage2,23,0.24257501401007175,0.4115904200077057,0.0,0.24257501401007175,49.978244999999994
4849,stage2,24,0.23459994338452816,0.40389638423919677,0.0,0.23459994338452816,49.977985
5049,stage2,25,0.22473435305058956,0.3963844513893127,0.0,0.22473435305058956,49.978675
5249,stage2,26,0.2152151695638895,0.3928502257168293,0.0,0.2152151695638895,49.978955
5449,stage2,27,0.21093710355460643,0.3903288298845291,0.0,0.21093710355460643,49.978675
5649,stage2,28,0.20414574831724167,0.38496178984642027,0.0,0.20414574831724167,49.979045
5849,stage2,29,0.19877528376877307,0.3820585948228836,0.0,0.19877528376877307,49.978715
6049,stage2,30,0.19435577899217604,0.3780648609995842,0.0,0.19435577899217604,49.97888
6249,stage2,31,0.1829943087697029,0.3700463928282261,0.0,0.1829943087697029,49.978715
6449,stage2,32,0.177251950353384,0.36899879276752473,0.0,0.177251950353384,49.979345
6649,stage2,33,0.1756110902875662,0.36550824597477916,0.0,0.1756110902875662,49.979455
6849,stage2,34,0.17281446300446987,0.3617224670946598,0.0,0.17281446300446987,49.98012
7049,stage2,35,0.16687461197376252,0.3588421821594238,0.0,0.16687461197376252,49.980235
7249,stage2,36,0.1621989257633686,0.3559690251946449,0.0,0.1621989257633686,49.97995
7449,stage2,37,0.15550847742706536,0.34916327238082884,0.0,0.15550847742706536,49.97998
7649,stage2,38,0.1546720153838396,0.3490890224277973,0.0,0.1546720153838396,49.97939
7849,stage2,39,0.15005635939538478,0.34619861111044886,0.0,0.15005635939538478,49.979205
8049,stage2,40,0.1484461324289441,0.34369348227977753,0.0,0.1484461324289441,49.978895
8249,stage2,41,0.14320118378847838,0.34222186625003814,0.0,0.14320118378847838,49.980665
