epoch_global_step,stage,logging_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,vram_gb
199,stage1,0,0.7084924787282944,0.7041655597090721,0.0,0.7084924787282944,9.47481
399,stage1,1,0.4687483622133732,0.549046615511179,0.0,0.4687483622133732,9.4755
599,stage1,2,0.39728217869997023,0.5030225683748722,0.0,0.39728217869997023,9.4755
799,stage1,3,0.36310431703925133,0.4796915125846863,0.0,0.36310431703925133,9.4755
999,stage1,4,0.34293805688619616,0.46659305423498154,0.0,0.34293805688619616,9.4755
1199,stage1,5,0.3222061285376549,0.4536803923547268,0.0,0.3222061285376549,9.4755
1399,stage1,6,0.30652458004653454,0.4453813862800598,0.0,0.30652458004653454,9.4755
1599,stage1,7,0.29329769931733607,0.43752249881625177,0.0,0.29329769931733607,9.4755
1849,stage2,9,0.27565936505794525,0.4293112303316593,0.0,0.27565936505794525,50.3288
2049,stage2,10,0.2597145166248083,0.4158759817481041,0.0,0.2597145166248083,50.33342
2249,stage2,11,0.23983186796307565,0.40409459188580515,0.0,0.23983186796307565,50.330985
2449,stage2,12,0.22557507537305355,0.39707253575325013,0.0,0.22557507537305355,50.32989499999999
2649,stage2,13,0.20903935812413693,0.3866629783809185,0.0,0.20903935812413693,50.329440000000005
2849,stage2,14,0.1877306216210127,0.37411082312464716,0.0,0.1877306216210127,50.32861
3049,stage2,15,0.1725062370300293,0.36215668156743047,0.0,0.1725062370300293,50.32951
3249,stage2,16,0.16387564644217492,0.3550835117697716,0.0,0.16387564644217492,50.32866
3449,stage2,17,0.1532643147185445,0.3472925178706646,0.0,0.1532643147185445,50.328450000000004
3649,stage2,18,0.14362939961254598,0.3395921018719673,0.0,0.14362939961254598,50.32733
3849,stage2,19,0.13774798218160866,0.3310229231417179,0.0,0.13774798218160866,50.32850500000001
4049,stage2,20,0.12810541559010744,0.3238069526851177,0.0,0.12810541559010744,50.328045
4249,stage2,21,0.12032263137400151,0.3202356021106243,0.0,0.12032263137400151,50.3279
4449,stage2,22,0.11717055559158325,0.31292552679777147,0.0,0.11717055559158325,50.326585
4649,stage2,23,0.11328810088336468,0.3115950147807598,0.0,0.11328810088336468,50.326544999999996
4849,stage2,24,0.10770865090191364,0.3043218261003494,0.0,0.10770865090191364,50.328
5049,stage2,25,0.10240698393434286,0.30210881397128103,0.0,0.10240698393434286,50.326825
5249,stage2,26,0.099085295163095,0.29646788105368616,0.0,0.099085295163095,50.327015
5449,stage2,27,0.0958705871552229,0.2934336993098259,0.0,0.0958705871552229,50.32681
5649,stage2,28,0.09410371210426093,0.29060291305184366,0.0,0.09410371210426093,50.326755000000006
5849,stage2,29,0.09235802173614502,0.2889592931419611,0.0,0.09235802173614502,50.326735
6049,stage2,30,0.08978873211890459,0.2865372049808502,0.0,0.08978873211890459,50.326975000000004
6249,stage2,31,0.08467001534998417,0.28054890483617784,0.0,0.08467001534998417,50.32734000000001
6449,stage2,32,0.08274065293371677,0.2788936606794596,0.0,0.08274065293371677,50.327214999999995
6649,stage2,33,0.08040575996041298,0.27442027553915976,0.0,0.08040575996041298,50.32695
6849,stage2,34,0.07931525848805904,0.2764665821194649,0.0,0.07931525848805904,50.32812
7049,stage2,35,0.07867138773202896,0.27459381975233554,0.0,0.07867138773202896,50.32897
7249,stage2,36,0.07545193079859018,0.2705348477512598,0.0,0.07545193079859018,50.328630000000004
7449,stage2,37,0.07379855770617723,0.2670616102218628,0.0,0.07379855770617723,50.327245000000005
7649,stage2,38,0.07177629861980676,0.2676319465786219,0.0,0.07177629861980676,50.327780000000004
7849,stage2,39,0.07126861633732914,0.26525760792195796,0.0,0.07126861633732914,50.327844999999996
8049,stage2,40,0.06924429172649979,0.2636354360729456,0.0,0.06924429172649979,50.328559999999996
8249,stage2,41,0.06858599146828055,0.26432160392403603,0.0,0.06858599146828055,50.328010000000006
