epoch_global_step,stage,logging_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,vram_gb
199,stage1,0,0.727735563069582,0.713487174808979,0.0,0.727735563069582,9.330565
399,stage1,1,0.48350421205163,0.5596050474047661,0.0,0.48350421205163,9.331
599,stage1,2,0.40177218601107595,0.5032383768260479,0.0,0.40177218601107595,9.331
799,stage1,3,0.36059016942977906,0.4801541735231876,0.0,0.36059016942977906,9.331
999,stage1,4,0.3434967742860317,0.4694038262963295,0.0,0.3434967742860317,9.331
1199,stage1,5,0.32437828853726386,0.45683369576931,0.0,0.32437828853726386,9.331
1399,stage1,6,0.3089947015047073,0.4482808004319668,0.0,0.3089947015047073,9.331
1599,stage1,7,0.2936341270804405,0.43673705562949183,0.0,0.2936341270804405,9.331
1849,stage2,9,0.2725040126591921,0.42769641548395154,0.0,0.2725040126591921,50.115114999999996
2049,stage2,10,0.2590844229608774,0.41775413781404497,0.0,0.2590844229608774,50.122065
2249,stage2,11,0.23966685831546783,0.40908827885985377,0.0,0.23966685831546783,50.121520000000004
2449,stage2,12,0.2253030526638031,0.3966012699902058,0.0,0.2253030526638031,50.120264999999996
2649,stage2,13,0.20663479089736939,0.3852354498207569,0.0,0.20663479089736939,50.12026
2849,stage2,14,0.18405308604240417,0.3705937485396862,0.0,0.18405308604240417,50.120065000000004
3049,stage2,15,0.17155552379786967,0.36136694848537443,0.0,0.17155552379786967,50.11948
3249,stage2,16,0.16080970354378224,0.35397925645112993,0.0,0.16080970354378224,50.120195
3449,stage2,17,0.1516209951788187,0.3467754626274109,0.0,0.1516209951788187,50.119925
3649,stage2,18,0.14204145412892102,0.33918295815587046,0.0,0.14204145412892102,50.119825
3849,stage2,19,0.13883075427263974,0.3329510225355625,0.0,0.13883075427263974,50.119255
4049,stage2,20,0.1244639141112566,0.32410548120737076,0.0,0.1244639141112566,50.119965
4249,stage2,21,0.11934090495109557,0.31735421597957614,0.0,0.11934090495109557,50.119565
4449,stage2,22,0.11646909639239311,0.3140080527961254,0.0,0.11646909639239311,50.11975
4649,stage2,23,0.11111175555735826,0.31167831778526306,0.0,0.11111175555735826,50.119735
4849,stage2,24,0.10828214343637228,0.3071753230690956,0.0,0.10828214343637228,50.119965
5049,stage2,25,0.10324199508875609,0.3017911215126514,0.0,0.10324199508875609,50.120295
5249,stage2,26,0.09738395497202873,0.2962402330338955,0.0,0.09738395497202873,50.119695
5449,stage2,27,0.09533767111599445,0.2923459652811289,0.0,0.09533767111599445,50.119994999999996
5649,stage2,28,0.09302560765296221,0.2922042767703533,0.0,0.09302560765296221,50.119675
5849,stage2,29,0.09168137025088072,0.2885142558813095,0.0,0.09168137025088072,50.11987
6049,stage2,30,0.08941101741045714,0.2878129391372204,0.0,0.08941101741045714,50.119805
6249,stage2,31,0.08381960432976485,0.2797446106374264,0.0,0.08381960432976485,50.119835
6449,stage2,32,0.08220349060371518,0.2806422385573387,0.0,0.08220349060371518,50.11983
6649,stage2,33,0.08124483413994313,0.278858502432704,0.0,0.08124483413994313,50.119895
6849,stage2,34,0.07899499122053384,0.27625424452126024,0.0,0.07899499122053384,50.120200000000004
7049,stage2,35,0.07726880418136715,0.27518796615302565,0.0,0.07726880418136715,50.120165
7249,stage2,36,0.07534811431542039,0.27204691000282766,0.0,0.07534811431542039,50.119955
7449,stage2,37,0.07167594496160745,0.26760060220956805,0.0,0.07167594496160745,50.12052
7649,stage2,38,0.07224864721298217,0.2712842904031277,0.0,0.07224864721298217,50.12024
7849,stage2,39,0.0700844632089138,0.2656499647349119,0.0,0.0700844632089138,50.12112
8049,stage2,40,0.0692036552913487,0.26452327214181426,0.0,0.0692036552913487,50.120935
8249,stage2,41,0.06923890076577663,0.2649421049654484,0.0,0.06923890076577663,50.12006
