[train] head=flow variant=baseline seed=0 out=../paper_repro/Spatial/runs/flow_s0
`torch_dtype` is deprecated! Use `dtype` instead!
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Reducing the number of VLM layers to 16 ...
[train] dataset frames=52970 episodes=432 -> 1 epoch = 1104 steps @ batch 48
[train] planned frames seen = 1440000 = 27.19 epochs

=== stage1 | steps=1650 batch=48 trainable: head=99.88M backbone=0.0M ===
[stage2] step   9249 | mse=0.1125 L1=0.1608 PH=0.0000 total=0.1125 | VRAM=53.6GB | 0.673s/it
[stage2] step   9449 | mse=0.1097 L1=0.1605 PH=0.0000 total=0.1097 | VRAM=53.6GB | 0.669s/it
[stage2] step   9649 | mse=0.1080 L1=0.1590 PH=0.0000 total=0.1080 | VRAM=53.6GB | 0.674s/it
[stage2] step   9849 | mse=0.1083 L1=0.1591 PH=0.0000 total=0.1083 | VRAM=53.6GB | 0.669s/it
[stage2] step  10049 | mse=0.1081 L1=0.1566 PH=0.0000 total=0.1081 | VRAM=53.6GB | 0.718s/it
[stage2] step  10249 | mse=0.1066 L1=0.1569 PH=0.0000 total=0.1066 | VRAM=53.6GB | 0.671s/it
[stage2] step  10449 | mse=0.1042 L1=0.1552 PH=0.0000 total=0.1042 | VRAM=53.6GB | 0.675s/it
[stage2] step  10649 | mse=0.1046 L1=0.1546 PH=0.0000 total=0.1046 | VRAM=53.6GB | 3.389s/it
[stage2] step  10849 | mse=0.0994 L1=0.1562 PH=0.0000 total=0.0994 | VRAM=53.6GB | 5.570s/it
[stage2] step  11049 | mse=0.1008 L1=0.1532 PH=0.0000 total=0.1008 | VRAM=53.6GB | 5.365s/it
[stage2] step  11249 | mse=0.0999 L1=0.1543 PH=0.0000 total=0.0999 | VRAM=53.6GB | 4.804s/it
[stage2] step  11449 | mse=0.1020 L1=0.1510 PH=0.0000 total=0.1020 | VRAM=53.6GB | 4.530s/it
[stage2] step  11649 | mse=0.0984 L1=0.1518 PH=0.0000 total=0.0984 | VRAM=53.6GB | 0.688s/it
[ckpt] saved -> ../paper_repro/Spatial/runs/flow_s0/checkpoints/11650  (EMA weights)
[stage2] step  11849 | mse=0.0943 L1=0.1519 PH=0.0000 total=0.0943 | VRAM=53.6GB | 0.668s/it
[stage2] step  12049 | mse=0.0973 L1=0.1490 PH=0.0000 total=0.0973 | VRAM=53.6GB | 0.668s/it
[stage2] step  12249 | mse=0.0937 L1=0.1528 PH=0.0000 total=0.0937 | VRAM=53.6GB | 0.686s/it
[stage2] step  12449 | mse=0.0943 L1=0.1496 PH=0.0000 total=0.0943 | VRAM=53.6GB | 0.668s/it
[stage2] step  12649 | mse=0.0939 L1=0.1490 PH=0.0000 total=0.0939 | VRAM=53.6GB | 0.668s/it
