global_step,stage,dataset_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,lr_head,lr_backbone,vram_gb,grad_norm,step_time_s
0,stage1,0,0.9953099489212036,0.824545681476593,5.517999649047852,1.1056699752807617,0.0001,0.0,9.342,0.1026,10.2838
1,stage1,0,0.7262595295906067,0.7464257478713989,4.599431991577148,0.8182481527328491,0.0001,0.0,9.474,0.0977,0.2617
2,stage1,0,0.8761231303215027,0.7736260890960693,5.016018867492676,0.9764435291290283,0.0001,0.0,9.473,0.1397,0.2759
3,stage1,0,0.7730724215507507,0.7582048773765564,4.843419551849365,0.8699408173561096,0.0001,0.0,9.476,0.1362,0.276
4,stage1,0,0.9075751900672913,0.8010551333427429,5.247910499572754,1.01253342628479,0.0001,0.0,9.473,0.1565,0.2767
5,stage1,0,0.8468843102455139,0.7864437103271484,4.9743266105651855,0.9463708400726318,0.0001,0.0,9.476,0.1553,0.276
6,stage1,0,0.8376070857048035,0.7636568546295166,4.96644926071167,0.93693608045578,0.0001,0.0,9.475,0.1575,0.2769
7,stage1,0,0.9847559928894043,0.8139384984970093,5.185548305511475,1.088467001914978,0.0001,0.0,9.477,0.1424,0.2766
8,stage1,0,0.7943475842475891,0.7555423378944397,4.9739766120910645,0.8938271403312683,0.0001,0.0,9.474,0.1511,5.317
9,stage1,0,0.7879968881607056,0.7577455043792725,4.617830753326416,0.8803535103797913,0.0001,0.0,9.477,0.1427,0.2756
10,stage1,0,0.815478503704071,0.7801118493080139,4.924827575683594,0.9139750599861145,0.0001,0.0,9.474,0.07,0.2759
11,stage1,0,0.7848752737045288,0.7649379968643188,4.539559841156006,0.8756664991378784,0.0001,0.0,9.477,0.1526,0.2764
12,stage1,0,0.887468159198761,0.7898529767990112,5.184462547302246,0.9911574125289917,0.0001,0.0,9.474,0.0789,0.2765
13,stage1,0,0.8157662153244019,0.7719248533248901,4.984254837036133,0.9154512882232666,0.0001,0.0,9.477,0.1298,0.2771
14,stage1,0,0.8510833978652954,0.7827200889587402,5.134163856506348,0.9537667036056519,0.0001,0.0,9.474,0.0848,0.2768
15,stage1,0,0.8352165818214417,0.780030369758606,4.758830547332764,0.9303932189941406,0.0001,0.0,9.477,0.1027,0.2774
16,stage1,0,0.8064116835594177,0.7976047396659851,4.963318824768066,0.9056780338287354,0.0001,0.0,9.474,0.0578,6.254
17,stage1,0,0.8490983247756958,0.7768368124961853,4.612546920776367,0.9413492679595947,0.0001,0.0,9.477,0.1534,0.2755
18,stage1,0,0.7875038385391235,0.7370549440383911,4.726273059844971,0.8820292949676514,0.0001,0.0,9.474,0.0941,0.2765
19,stage1,0,0.7604631185531616,0.7641276717185974,4.596462249755859,0.8523923754692078,0.0001,0.0,9.477,0.0701,0.2763
20,stage1,0,0.7595406770706177,0.7353734374046326,4.643816947937012,0.8524169921875,0.0001,0.0,9.474,0.11,0.2764
21,stage1,0,0.709710955619812,0.7260906100273132,4.340891361236572,0.7965287566184998,0.0001,0.0,9.477,0.0773,0.2762
22,stage1,0,0.808637797832489,0.7775835394859314,4.587443828582764,0.9003866910934448,0.0001,0.0,9.474,0.0817,0.2759
23,stage1,0,0.6962680816650391,0.7593846321105957,4.254510879516602,0.7813583016395569,0.0001,0.0,9.477,0.0631,0.2777
24,stage1,0,0.8549560904502869,0.7891671061515808,4.928689002990723,0.9535298943519592,0.0001,0.0,9.474,0.0945,6.3566
25,stage1,0,0.9460785388946533,0.79464191198349,4.846061706542969,1.0429997444152832,0.0001,0.0,9.477,0.0911,0.2758
26,stage1,0,0.7892500162124634,0.740558385848999,4.463198661804199,0.8785139918327332,0.0001,0.0,9.474,0.0628,0.2764
27,stage1,0,0.8346543908119202,0.7492716908454895,4.556901454925537,0.925792396068573,0.0001,0.0,9.477,0.0935,0.2767
28,stage1,0,0.7783118486404419,0.7381584644317627,4.253744125366211,0.8633867502212524,0.0001,0.0,9.474,0.0991,0.2764
29,stage1,0,0.8762640953063965,0.79245924949646,4.367882251739502,0.9636217355728149,0.0001,0.0,9.477,0.103,0.2769
30,stage1,0,0.7549346089363098,0.765319287776947,4.1371917724609375,0.8376784324645996,0.0001,0.0,9.474,0.0915,0.2772
31,stage1,0,0.8009257316589355,0.7904593348503113,4.4688920974731445,0.8903035521507263,0.0001,0.0,9.477,0.0995,0.2772
32,stage1,0,0.9335288405418396,0.806357204914093,4.331657409667969,1.0201619863510132,0.0001,0.0,9.474,0.0723,6.3709
33,stage1,0,0.9145457744598389,0.8091906309127808,4.590496063232422,1.0063556432724,0.0001,0.0,9.477,0.0685,0.2754
34,stage1,0,0.7925225496292114,0.7601965665817261,4.254097938537598,0.8776044845581055,0.0001,0.0,9.474,0.1196,0.2759
35,stage1,0,0.7732599377632141,0.7419247627258301,3.803440570831299,0.8493287563323975,0.0001,0.0,9.477,0.0938,0.2767
36,stage1,0,0.7238066792488098,0.7588313817977905,3.694744110107422,0.7977015376091003,0.0001,0.0,9.474,0.0772,0.2764
37,stage1,0,0.802316427230835,0.7690855860710144,3.8780150413513184,0.8798767328262329,0.0001,0.0,9.477,0.0757,0.2766
38,stage1,0,0.8440630435943604,0.7606824040412903,3.882572889328003,0.9217144846916199,0.0001,0.0,9.474,0.1038,0.2772
39,stage1,0,0.8457884192466736,0.7861694097518921,4.231841564178467,0.930425226688385,0.0001,0.0,9.477,0.087,0.2774
40,stage1,0,0.834442675113678,0.7842073440551758,3.676847219467163,0.9079796075820923,0.0001,0.0,9.474,0.1045,6.2603
41,stage1,0,0.8045423030853271,0.7463605999946594,4.1581525802612305,0.8877053260803223,0.0001,0.0,9.477,0.2113,0.2749
42,stage1,0,0.8578579425811768,0.7633368372917175,4.146808624267578,0.9407941102981567,0.0001,0.0,9.474,0.1427,0.2763
43,stage1,0,0.7754687666893005,0.7386782169342041,3.448319911956787,0.8444351553916931,0.0001,0.0,9.477,0.1618,0.2769
44,stage1,0,0.8485724925994873,0.7890328168869019,3.7193076610565186,0.9229586124420166,0.0001,0.0,9.474,0.1163,0.2767
45,stage1,0,0.8015727996826172,0.7556285262107849,3.2945170402526855,0.8674631118774414,0.0001,0.0,9.477,0.1664,0.277
46,stage1,0,0.776885986328125,0.7359585165977478,3.235684871673584,0.841599702835083,0.0001,0.0,9.474,0.1092,0.2775
47,stage1,0,0.8264983296394348,0.7628794312477112,3.369506597518921,0.8938884735107422,0.0001,0.0,9.477,0.0988,0.2769
48,stage1,0,0.9021434783935547,0.7989550828933716,3.151322364807129,0.9651699066162109,0.0001,0.0,9.474,0.2429,6.324
49,stage1,0,0.7340232729911804,0.7473880648612976,2.7697105407714844,0.7894175052642822,0.0001,0.0,9.477,0.1462,0.2711
50,stage1,0,0.8666828274726868,0.7514113187789917,2.9507241249084473,0.9256973266601562,0.0001,0.0,9.474,0.121,0.3069
51,stage1,0,0.7960468530654907,0.7696704268455505,2.9584274291992188,0.8552154302597046,0.0001,0.0,9.477,0.0917,0.2763
52,stage1,0,0.7811565399169922,0.7595809698104858,3.1385250091552734,0.8439270257949829,0.0001,0.0,9.474,0.1544,0.2765
53,stage1,0,0.6741375923156738,0.7355000972747803,2.6157948970794678,0.7264534831047058,0.0001,0.0,9.477,0.1656,0.2777
54,stage1,0,0.7919149994850159,0.7468202114105225,2.750731945037842,0.8469296097755432,0.0001,0.0,9.474,0.1853,0.2774
55,stage1,0,0.7656645178794861,0.780638575553894,2.3504998683929443,0.8126745223999023,0.0001,0.0,9.477,0.0816,0.2772
56,stage1,0,0.7871618270874023,0.7650240659713745,2.430504560470581,0.835771918296814,0.0001,0.0,9.474,0.11,6.2111
57,stage1,0,0.903434157371521,0.8028388023376465,2.5597732067108154,0.9546296000480652,0.0001,0.0,9.477,0.1431,0.2756
58,stage1,0,0.8454009890556335,0.7837312817573547,2.103644609451294,0.8874738812446594,0.0001,0.0,9.474,0.2135,0.3309
59,stage1,0,0.7179464101791382,0.7627464532852173,2.363192081451416,0.7652102708816528,0.0001,0.0,9.477,0.2363,0.2766
60,stage1,0,0.716954231262207,0.7341001629829407,1.9631659984588623,0.7562175393104553,0.0001,0.0,9.474,0.1331,0.2766
