task,flow (SmolVLA),m3 DeepONet,m4 DeepONet+PH
task0,30.0,30.0,20.0
task1,75.0,65.0,55.0
task2,100.0,90.0,100.0
task3,95.0,100.0,85.0
task4,60.0,60.0,45.0
task5,85.0,75.0,95.0
task6,65.0,20.0,55.0
task7,60.0,50.0,50.0
task8,30.0,20.0,10.0
task9,65.0,75.0,90.0
AVERAGE,66.50,58.50,60.50
