[stage2] step   7049 | mse=0.0872 L1=0.2840 PH=0.0000 total=0.0872 | VRAM=50.3GB | 0.644s/it
[stage2] step   7249 | mse=0.0849 L1=0.2827 PH=0.0000 total=0.0849 | VRAM=50.3GB | 0.643s/it
[stage2] step   7449 | mse=0.0820 L1=0.2763 PH=0.0000 total=0.0820 | VRAM=50.3GB | 0.700s/it
[stage2] step   7649 | mse=0.0808 L1=0.2767 PH=0.0000 total=0.0808 | VRAM=50.3GB | 0.721s/it
[stage2] step   7849 | mse=0.0796 L1=0.2796 PH=0.0000 total=0.0796 | VRAM=50.3GB | 0.649s/it
[stage2] step   8049 | mse=0.0779 L1=0.2728 PH=0.0000 total=0.0779 | VRAM=50.3GB | 0.634s/it
[stage2] step   8249 | mse=0.0781 L1=0.2740 PH=0.0000 total=0.0781 | VRAM=50.3GB | 0.636s/it
[ckpt] saved -> runs/abl_noF_s2/checkpoints/8300  (EMA weights)

[train] DONE head=deeponet variant=baseline steps=8300 wall=153.8 min -> runs/abl_noF_s2
