[stage2] step   6049 | mse=0.0894 L1=0.2878 PH=0.0000 total=0.0894 | VRAM=50.1GB | 0.632s/it
[stage2] step   6249 | mse=0.0838 L1=0.2797 PH=0.0000 total=0.0838 | VRAM=50.1GB | 0.633s/it
[stage2] step   6449 | mse=0.0822 L1=0.2806 PH=0.0000 total=0.0822 | VRAM=50.1GB | 0.633s/it
[stage2] step   6649 | mse=0.0812 L1=0.2789 PH=0.0000 total=0.0812 | VRAM=50.1GB | 0.632s/it
[stage2] step   6849 | mse=0.0790 L1=0.2763 PH=0.0000 total=0.0790 | VRAM=50.1GB | 0.633s/it
[stage2] step   7049 | mse=0.0773 L1=0.2752 PH=0.0000 total=0.0773 | VRAM=50.1GB | 0.632s/it
[stage2] step   7249 | mse=0.0753 L1=0.2720 PH=0.0000 total=0.0753 | VRAM=50.1GB | 0.632s/it
[stage2] step   7449 | mse=0.0717 L1=0.2676 PH=0.0000 total=0.0717 | VRAM=50.1GB | 0.632s/it
[stage2] step   7649 | mse=0.0722 L1=0.2713 PH=0.0000 total=0.0722 | VRAM=50.1GB | 0.633s/it
[stage2] step   7849 | mse=0.0701 L1=0.2656 PH=0.0000 total=0.0701 | VRAM=50.1GB | 0.633s/it
[stage2] step   8049 | mse=0.0692 L1=0.2645 PH=0.0000 total=0.0692 | VRAM=50.1GB | 0.632s/it
[stage2] step   8249 | mse=0.0692 L1=0.2649 PH=0.0000 total=0.0692 | VRAM=50.1GB | 0.633s/it
[ckpt] saved -> runs/abl_1blk_s0/checkpoints/8300  (EMA weights)

[train] DONE head=deeponet variant=baseline steps=8300 wall=152.9 min -> runs/abl_1blk_s0
