[stage2] step   6249 | mse=0.0827 L1=0.2867 PH=0.0000 total=0.0827 | VRAM=50.3GB | 0.638s/it
[stage2] step   6449 | mse=0.0811 L1=0.2849 PH=0.0000 total=0.0811 | VRAM=50.3GB | 0.669s/it
[stage2] step   6649 | mse=0.0794 L1=0.2826 PH=0.0000 total=0.0794 | VRAM=50.3GB | 0.641s/it
[stage2] step   6849 | mse=0.0789 L1=0.2806 PH=0.0000 total=0.0789 | VRAM=50.3GB | 0.658s/it
[stage2] step   7049 | mse=0.0764 L1=0.2797 PH=0.0000 total=0.0764 | VRAM=50.3GB | 0.643s/it
[stage2] step   7249 | mse=0.0736 L1=0.2754 PH=0.0000 total=0.0736 | VRAM=50.3GB | 0.642s/it
[stage2] step   7449 | mse=0.0701 L1=0.2711 PH=0.0000 total=0.0701 | VRAM=50.3GB | 0.643s/it
[stage2] step   7649 | mse=0.0703 L1=0.2696 PH=0.0000 total=0.0703 | VRAM=50.3GB | 0.656s/it
[stage2] step   7849 | mse=0.0690 L1=0.2691 PH=0.0000 total=0.0690 | VRAM=50.3GB | 0.642s/it
[stage2] step   8049 | mse=0.0676 L1=0.2692 PH=0.0000 total=0.0676 | VRAM=50.3GB | 0.669s/it
[stage2] step   8249 | mse=0.0666 L1=0.2667 PH=0.0000 total=0.0666 | VRAM=50.3GB | 0.650s/it
[ckpt] saved -> runs/reg_s0/checkpoints/8300  (EMA weights)

[train] DONE head=deeponet variant=baseline steps=8300 wall=158.5 min -> runs/reg_s0
