[stage2] step   6249 | mse=0.0807 L1=0.2846 PH=0.0000 total=0.0807 | VRAM=50.3GB | 0.947s/it
[stage2] step   6449 | mse=0.0796 L1=0.2840 PH=0.0000 total=0.0796 | VRAM=50.3GB | 0.705s/it
[stage2] step   6649 | mse=0.0779 L1=0.2828 PH=0.0000 total=0.0779 | VRAM=50.3GB | 0.642s/it
[stage2] step   6849 | mse=0.0769 L1=0.2783 PH=0.0000 total=0.0769 | VRAM=50.3GB | 0.645s/it
[stage2] step   7049 | mse=0.0757 L1=0.2793 PH=0.0000 total=0.0757 | VRAM=50.3GB | 0.642s/it
[stage2] step   7249 | mse=0.0715 L1=0.2769 PH=0.0000 total=0.0715 | VRAM=50.3GB | 0.714s/it
[stage2] step   7449 | mse=0.0693 L1=0.2690 PH=0.0000 total=0.0693 | VRAM=50.3GB | 0.704s/it
[stage2] step   7649 | mse=0.0680 L1=0.2691 PH=0.0000 total=0.0680 | VRAM=50.3GB | 1.175s/it
[stage2] step   7849 | mse=0.0674 L1=0.2694 PH=0.0000 total=0.0674 | VRAM=50.3GB | 2.773s/it
[stage2] step   8049 | mse=0.0663 L1=0.2660 PH=0.0000 total=0.0663 | VRAM=50.3GB | 4.183s/it
[stage2] step   8249 | mse=0.0658 L1=0.2661 PH=0.0000 total=0.0658 | VRAM=50.3GB | 3.957s/it
[ckpt] saved -> runs/reg_s1/checkpoints/8300  (EMA weights)

[train] DONE head=deeponet variant=baseline steps=8300 wall=149.3 min -> runs/reg_s1
