[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet dataset=lerobot/libero_object_image -> act_results_gripfix/Object/runs/act_deeponet
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 105.6 GB for 66984 items (avail 254 GB)
[ramcache] 10000/66984  (178s)
[ramcache] 20000/66984  (331s)
[ramcache] 30000/66984  (483s)
[ramcache] 40000/66984  (636s)
[ramcache] 50000/66984  (789s)
[ramcache] 60000/66984  (941s)
[ramcache] cached 66984 items in 16.8 min
[train] params=61.80M frames=66984 batch=64 steps=30000
[act_deeponet] step  10000 | l1=0.1418 total=0.187 phgate=- act=0 | VRAM=6.44GB | 0.087s/it
[act_deeponet] step  10200 | l1=0.1409 total=0.180 phgate=- act=0 | VRAM=6.44GB | 0.077s/it
[act_deeponet] step  10400 | l1=0.1387 total=0.194 phgate=- act=0 | VRAM=6.44GB | 0.078s/it
[act_deeponet] step  10600 | l1=0.1370 total=0.187 phgate=- act=0 | VRAM=6.44GB | 0.076s/it
[act_deeponet] step  10800 | l1=0.1364 total=0.179 phgate=- act=0 | VRAM=6.44GB | 0.083s/it
[act_deeponet] step  11000 | l1=0.1375 total=0.183 phgate=- act=0 | VRAM=6.44GB | 0.081s/it
[act_deeponet] step  11200 | l1=0.1344 total=0.161 phgate=- act=0 | VRAM=6.44GB | 0.083s/it
[act_deeponet] step  11400 | l1=0.1351 total=0.173 phgate=- act=0 | VRAM=6.44GB | 0.074s/it
[act_deeponet] step  11600 | l1=0.1321 total=0.190 phgate=- act=0 | VRAM=6.44GB | 0.083s/it
[act_deeponet] step  11800 | l1=0.1314 total=0.195 phgate=- act=0 | VRAM=6.44GB | 0.078s/it
[act_deeponet] step  12000 | l1=0.1294 total=0.167 phgate=- act=0 | VRAM=6.44GB | 0.082s/it
[act_deeponet] step  12200 | l1=0.1298 total=0.181 phgate=- act=0 | VRAM=6.44GB | 0.079s/it
[act_deeponet] step  12400 | l1=0.1294 total=0.186 phgate=- act=0 | VRAM=6.44GB | 0.083s/it
[act_deeponet] step  12600 | l1=0.1279 total=0.162 phgate=- act=0 | VRAM=6.44GB | 0.086s/it
[act_deeponet] step  12800 | l1=0.1269 total=0.157 phgate=- act=0 | VRAM=6.44GB | 0.080s/it
[act_deeponet] step  13000 | l1=0.1270 total=0.168 phgate=- act=0 | VRAM=6.44GB | 0.081s/it
[act_deeponet] step  13200 | l1=0.1250 total=0.185 phgate=- act=0 | VRAM=6.44GB | 0.084s/it
[act_deeponet] step  13400 | l1=0.1254 total=0.200 phgate=- act=0 | VRAM=6.44GB | 0.080s/it
[act_deeponet] step  13600 | l1=0.1240 total=0.169 phgate=- act=0 | VRAM=6.44GB | 0.215s/it
[act_deeponet] step  13800 | l1=0.1225 total=0.183 phgate=- act=0 | VRAM=6.44GB | 0.079s/it
[act_deeponet] step  14000 | l1=0.1224 total=0.177 phgate=- act=0 | VRAM=6.44GB | 0.076s/it
[act_deeponet] step  14200 | l1=0.1223 total=0.199 phgate=- act=0 | VRAM=6.44GB | 0.079s/it
[act_deeponet] step  14400 | l1=0.1208 total=0.164 phgate=- act=0 | VRAM=6.44GB | 0.079s/it
[act_deeponet] step  14600 | l1=0.1211 total=0.192 phgate=- act=0 | VRAM=6.44GB | 0.074s/it
[act_deeponet] step  14800 | l1=0.1195 total=0.179 phgate=- act=0 | VRAM=6.44GB | 0.081s/it
[act_deeponet] step  15000 | l1=0.1186 total=0.170 phgate=- act=0 | VRAM=6.44GB | 0.080s/it
[act_deeponet] step  15200 | l1=0.1184 total=0.157 phgate=- act=0 | VRAM=6.44GB | 0.082s/it
[act_deeponet] step  15400 | l1=0.1186 total=0.184 phgate=- act=0 | VRAM=6.44GB | 0.081s/it
