[stage2] step   7049 | mse=0.0793 L1=0.2761 PH=0.0000 total=0.0793 | VRAM=50.3GB | 0.634s/it
[stage2] step   7249 | mse=0.0773 L1=0.2713 PH=0.0000 total=0.0773 | VRAM=50.3GB | 0.636s/it
[stage2] step   7449 | mse=0.0743 L1=0.2696 PH=0.0000 total=0.0743 | VRAM=50.3GB | 0.635s/it
[stage2] step   7649 | mse=0.0727 L1=0.2683 PH=0.0000 total=0.0727 | VRAM=50.3GB | 0.634s/it
[stage2] step   7849 | mse=0.0711 L1=0.2653 PH=0.0000 total=0.0711 | VRAM=50.3GB | 0.636s/it
[stage2] step   8049 | mse=0.0704 L1=0.2631 PH=0.0000 total=0.0704 | VRAM=50.3GB | 0.636s/it
[stage2] step   8249 | mse=0.0701 L1=0.2654 PH=0.0000 total=0.0701 | VRAM=50.3GB | 0.636s/it
[stage2] step   8449 | mse=0.0671 L1=0.2583 PH=0.0000 total=0.0671 | VRAM=50.3GB | 0.637s/it
[stage2] step   8649 | mse=0.0661 L1=0.2578 PH=0.0000 total=0.0661 | VRAM=50.3GB | 0.637s/it
[stage2] step   8849 | mse=0.0643 L1=0.2590 PH=0.0000 total=0.0643 | VRAM=50.3GB | 0.636s/it
[stage2] step   9049 | mse=0.0636 L1=0.2587 PH=0.0000 total=0.0636 | VRAM=50.3GB | 0.637s/it
[stage2] step   9249 | mse=0.0628 L1=0.2578 PH=0.0000 total=0.0628 | VRAM=50.3GB | 0.638s/it
[stage2] step   9449 | mse=0.0614 L1=0.2548 PH=0.0000 total=0.0614 | VRAM=50.3GB | 0.635s/it
[stage2] step   9649 | mse=0.0590 L1=0.2513 PH=0.0000 total=0.0590 | VRAM=50.3GB | 0.636s/it
[stage2] step   9849 | mse=0.0591 L1=0.2507 PH=0.0000 total=0.0591 | VRAM=50.3GB | 0.638s/it
[stage2] step  10049 | mse=0.0586 L1=0.2521 PH=0.0000 total=0.0586 | VRAM=50.3GB | 0.638s/it
[stage2] step  10249 | mse=0.0584 L1=0.2502 PH=0.0000 total=0.0584 | VRAM=50.3GB | 0.636s/it
[stage2] step  10449 | mse=0.0572 L1=0.2485 PH=0.0000 total=0.0572 | VRAM=50.3GB | 0.638s/it
[stage2] step  10649 | mse=0.0555 L1=0.2469 PH=0.0000 total=0.0555 | VRAM=50.3GB | 0.638s/it
[stage2] step  10849 | mse=0.0547 L1=0.2466 PH=0.0000 total=0.0547 | VRAM=50.3GB | 0.636s/it
[stage2] step  11049 | mse=0.0528 L1=0.2467 PH=0.0000 total=0.0528 | VRAM=50.3GB | 0.636s/it
[stage2] step  11249 | mse=0.0535 L1=0.2445 PH=0.0000 total=0.0535 | VRAM=50.3GB | 0.636s/it
[stage2] step  11449 | mse=0.0525 L1=0.2425 PH=0.0000 total=0.0525 | VRAM=50.3GB | 0.631s/it
[stage2] step  11649 | mse=0.0523 L1=0.2423 PH=0.0000 total=0.0523 | VRAM=50.3GB | 3.988s/it
[stage2] step  11849 | mse=0.0503 L1=0.2403 PH=0.0000 total=0.0503 | VRAM=50.3GB | 3.794s/it
[stage2] step  12049 | mse=0.0499 L1=0.2400 PH=0.0000 total=0.0499 | VRAM=50.3GB | 3.462s/it
