[train] head=flow variant=baseline seed=0 out=../Spatial/runs/flow_s0
`torch_dtype` is deprecated! Use `dtype` instead!
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Loading weights:   0%|          | 0/489 [00:00<?, ?it/s]Loading weights: 100%|██████████| 489/489 [00:00<00:00, 6633.62it/s]
Reducing the number of VLM layers to 16 ...
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 9631.01it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5050.34it/s]
[train] dataset frames=52970 episodes=432 -> 1 epoch = 1104 steps @ batch 48
[train] planned frames seen = 720000 = 13.59 epochs

=== stage1 | steps=1650 batch=48 trainable: head=99.88M backbone=0.0M ===
[stage2] step   8449 | mse=0.1168 L1=0.1642 PH=0.0000 total=0.1168 | VRAM=53.6GB | 0.671s/it
[stage2] step   8649 | mse=0.1175 L1=0.1648 PH=0.0000 total=0.1175 | VRAM=53.6GB | 0.671s/it
[stage2] step   8849 | mse=0.1168 L1=0.1622 PH=0.0000 total=0.1168 | VRAM=53.6GB | 0.669s/it
[stage2] step   9049 | mse=0.1151 L1=0.1617 PH=0.0000 total=0.1151 | VRAM=53.6GB | 0.670s/it
[stage2] step   9249 | mse=0.1123 L1=0.1604 PH=0.0000 total=0.1123 | VRAM=53.6GB | 0.672s/it
[stage2] step   9449 | mse=0.1096 L1=0.1604 PH=0.0000 total=0.1096 | VRAM=53.6GB | 0.806s/it
[stage2] step   9649 | mse=0.1080 L1=0.1585 PH=0.0000 total=0.1080 | VRAM=53.6GB | 0.808s/it
[stage2] step   9849 | mse=0.1081 L1=0.1591 PH=0.0000 total=0.1081 | VRAM=53.6GB | 0.713s/it
[stage2] step  10049 | mse=0.1079 L1=0.1562 PH=0.0000 total=0.1079 | VRAM=53.6GB | 0.686s/it
[stage2] step  10249 | mse=0.1062 L1=0.1564 PH=0.0000 total=0.1062 | VRAM=53.6GB | 0.680s/it
[stage2] step  10449 | mse=0.1042 L1=0.1551 PH=0.0000 total=0.1042 | VRAM=53.6GB | 0.809s/it
[stage2] step  10649 | mse=0.1044 L1=0.1541 PH=0.0000 total=0.1044 | VRAM=53.6GB | 0.791s/it
[stage2] step  10849 | mse=0.0991 L1=0.1554 PH=0.0000 total=0.0991 | VRAM=53.6GB | 0.750s/it
[stage2] step  11049 | mse=0.1003 L1=0.1524 PH=0.0000 total=0.1003 | VRAM=53.6GB | 0.803s/it
[stage2] step  11249 | mse=0.0999 L1=0.1538 PH=0.0000 total=0.0999 | VRAM=53.6GB | 0.813s/it
[stage2] step  11449 | mse=0.1018 L1=0.1505 PH=0.0000 total=0.1018 | VRAM=53.6GB | 0.691s/it
[stage2] step  11649 | mse=0.0983 L1=0.1515 PH=0.0000 total=0.0983 | VRAM=53.6GB | 3.393s/it
[stage2] step  11849 | mse=0.0941 L1=0.1514 PH=0.0000 total=0.0941 | VRAM=53.6GB | 3.588s/it
[stage2] step  12049 | mse=0.0971 L1=0.1486 PH=0.0000 total=0.0971 | VRAM=53.6GB | 3.623s/it
[stage2] step  12249 | mse=0.0938 L1=0.1526 PH=0.0000 total=0.0938 | VRAM=53.6GB | 3.814s/it
[stage2] step  12449 | mse=0.0944 L1=0.1494 PH=0.0000 total=0.0944 | VRAM=53.6GB | 3.816s/it
[stage2] step  12649 | mse=0.0939 L1=0.1487 PH=0.0000 total=0.0939 | VRAM=53.6GB | 3.960s/it
[stage2] step  12849 | mse=0.0915 L1=0.1469 PH=0.0000 total=0.0915 | VRAM=53.6GB | 0.670s/it
[stage2] step  13049 | mse=0.0883 L1=0.1483 PH=0.0000 total=0.0883 | VRAM=53.6GB | 0.669s/it
[stage2] step  13249 | mse=0.0922 L1=0.1461 PH=0.0000 total=0.0922 | VRAM=53.6GB | 0.670s/it
[stage2] step  13449 | mse=0.0886 L1=0.1492 PH=0.0000 total=0.0886 | VRAM=53.6GB | 0.668s/it
[stage2] step  13649 | mse=0.0898 L1=0.1468 PH=0.0000 total=0.0898 | VRAM=53.6GB | 0.670s/it
[stage2] step  13849 | mse=0.0924 L1=0.1453 PH=0.0000 total=0.0924 | VRAM=53.6GB | 0.670s/it
[stage2] step  14049 | mse=0.0877 L1=0.1458 PH=0.0000 total=0.0877 | VRAM=53.6GB | 0.671s/it
[stage2] step  14249 | mse=0.0865 L1=0.1457 PH=0.0000 total=0.0865 | VRAM=53.6GB | 0.675s/it
[stage2] step  14449 | mse=0.0850 L1=0.1434 PH=0.0000 total=0.0850 | VRAM=53.6GB | 0.730s/it
[stage2] step  14649 | mse=0.0855 L1=0.1466 PH=0.0000 total=0.0855 | VRAM=53.6GB | 0.710s/it
[stage2] step  14849 | mse=0.0850 L1=0.1444 PH=0.0000 total=0.0850 | VRAM=53.6GB | 1.241s/it
[ckpt] saved -> ../Spatial/runs/flow_s0/checkpoints/15000  (EMA weights)

[train] DONE head=flow variant=baseline steps=15000 wall=275.0 min -> ../Spatial/runs/flow_s0
