task,flow (SmolVLA),m3 DeepONet,m4 DeepONet+PH
task0,80.0,90.0,65.0
task1,95.0,90.0,100.0
task2,100.0,95.0,100.0
task3,80.0,90.0,90.0
task4,100.0,95.0,100.0
task5,80.0,80.0,80.0
task6,90.0,90.0,80.0
task7,90.0,70.0,90.0
task8,100.0,90.0,95.0
task9,60.0,80.0,95.0
AVERAGE,87.50,87.00,89.50
