[stage2] step   7049 | mse=0.0593 L1=0.2480 PH=0.0000 total=0.0593 | VRAM=50.3GB | 0.636s/it
[stage2] step   7249 | mse=0.0560 L1=0.2417 PH=0.0000 total=0.0560 | VRAM=50.3GB | 0.635s/it
[stage2] step   7449 | mse=0.0549 L1=0.2370 PH=0.0000 total=0.0549 | VRAM=50.3GB | 0.635s/it
[stage2] step   7649 | mse=0.0542 L1=0.2376 PH=0.0000 total=0.0542 | VRAM=50.3GB | 0.635s/it
[stage2] step   7849 | mse=0.0527 L1=0.2372 PH=0.0000 total=0.0527 | VRAM=50.3GB | 0.635s/it
[stage2] step   8049 | mse=0.0521 L1=0.2357 PH=0.0000 total=0.0521 | VRAM=50.3GB | 0.635s/it
[stage2] step   8249 | mse=0.0501 L1=0.2290 PH=0.0000 total=0.0501 | VRAM=50.3GB | 0.636s/it
[stage2] step   8449 | mse=0.0493 L1=0.2292 PH=0.0000 total=0.0493 | VRAM=50.3GB | 0.636s/it
[stage2] step   8649 | mse=0.0483 L1=0.2258 PH=0.0000 total=0.0483 | VRAM=50.3GB | 0.636s/it
[stage2] step   8849 | mse=0.0478 L1=0.2286 PH=0.0000 total=0.0478 | VRAM=50.3GB | 0.636s/it
[stage2] step   9049 | mse=0.0460 L1=0.2271 PH=0.0000 total=0.0460 | VRAM=50.3GB | 0.637s/it
[stage2] step   9249 | mse=0.0462 L1=0.2293 PH=0.0000 total=0.0462 | VRAM=50.3GB | 0.632s/it
[stage2] step   9449 | mse=0.0436 L1=0.2251 PH=0.0000 total=0.0436 | VRAM=50.3GB | 0.635s/it
[stage2] step   9649 | mse=0.0443 L1=0.2220 PH=0.0000 total=0.0443 | VRAM=50.3GB | 0.635s/it
[stage2] step   9849 | mse=0.0435 L1=0.2210 PH=0.0000 total=0.0435 | VRAM=50.3GB | 0.634s/it
[stage2] step  10049 | mse=0.0422 L1=0.2209 PH=0.0000 total=0.0422 | VRAM=50.3GB | 0.636s/it
[stage2] step  10249 | mse=0.0423 L1=0.2174 PH=0.0000 total=0.0423 | VRAM=50.3GB | 0.635s/it
[stage2] step  10449 | mse=0.0416 L1=0.2168 PH=0.0000 total=0.0416 | VRAM=50.3GB | 0.635s/it
[stage2] step  10649 | mse=0.0398 L1=0.2162 PH=0.0000 total=0.0398 | VRAM=50.3GB | 0.636s/it
[stage2] step  10849 | mse=0.0398 L1=0.2169 PH=0.0000 total=0.0398 | VRAM=50.3GB | 0.635s/it
[stage2] step  11049 | mse=0.0394 L1=0.2147 PH=0.0000 total=0.0394 | VRAM=50.3GB | 0.635s/it
[stage2] step  11249 | mse=0.0396 L1=0.2147 PH=0.0000 total=0.0396 | VRAM=50.3GB | 0.633s/it
[stage2] step  11449 | mse=0.0388 L1=0.2146 PH=0.0000 total=0.0388 | VRAM=50.3GB | 0.632s/it
[stage2] step  11649 | mse=0.0369 L1=0.2133 PH=0.0000 total=0.0369 | VRAM=50.3GB | 0.635s/it
[stage2] step  11849 | mse=0.0367 L1=0.2111 PH=0.0000 total=0.0367 | VRAM=50.3GB | 0.635s/it
[stage2] step  12049 | mse=0.0368 L1=0.2094 PH=0.0000 total=0.0368 | VRAM=50.3GB | 0.634s/it
[stage2] step  12249 | mse=0.0368 L1=0.2092 PH=0.0000 total=0.0368 | VRAM=50.3GB | 0.634s/it
[stage2] step  12449 | mse=0.0359 L1=0.2095 PH=0.0000 total=0.0359 | VRAM=50.3GB | 0.635s/it
[stage2] step  12649 | mse=0.0349 L1=0.2065 PH=0.0000 total=0.0349 | VRAM=50.3GB | 0.637s/it
[stage2] step  12849 | mse=0.0344 L1=0.2074 PH=0.0000 total=0.0344 | VRAM=50.3GB | 0.635s/it
[stage2] step  13049 | mse=0.0342 L1=0.2063 PH=0.0000 total=0.0342 | VRAM=50.3GB | 0.635s/it
[stage2] step  13249 | mse=0.0341 L1=0.2065 PH=0.0000 total=0.0341 | VRAM=50.3GB | 0.636s/it
[stage2] step  13449 | mse=0.0340 L1=0.2053 PH=0.0000 total=0.0340 | VRAM=50.3GB | 0.636s/it
[stage2] step  13649 | mse=0.0331 L1=0.2058 PH=0.0000 total=0.0331 | VRAM=50.3GB | 0.632s/it
[stage2] step  13849 | mse=0.0326 L1=0.2045 PH=0.0000 total=0.0326 | VRAM=50.3GB | 0.634s/it
[stage2] step  14049 | mse=0.0319 L1=0.2036 PH=0.0000 total=0.0319 | VRAM=50.3GB | 0.635s/it
[stage2] step  14249 | mse=0.0323 L1=0.2049 PH=0.0000 total=0.0323 | VRAM=50.3GB | 0.636s/it
[stage2] step  14449 | mse=0.0322 L1=0.2019 PH=0.0000 total=0.0322 | VRAM=50.3GB | 0.634s/it
[stage2] step  14649 | mse=0.0317 L1=0.1995 PH=0.0000 total=0.0317 | VRAM=50.3GB | 0.634s/it
[stage2] step  14849 | mse=0.0305 L1=0.2030 PH=0.0000 total=0.0305 | VRAM=50.3GB | 0.637s/it
[ckpt] saved -> ../Goal/runs/m3_s0/checkpoints/15000  (EMA weights)

[train] DONE head=deeponet variant=baseline steps=15000 wall=259.5 min -> ../Goal/runs/m3_s0
