[train] head=flow variant=baseline seed=0 out=../paper_repro/Object/runs/flow_s0
`torch_dtype` is deprecated! Use `dtype` instead!
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Reducing the number of VLM layers to 16 ...
[train] dataset frames=66984 episodes=454 -> 1 epoch = 1396 steps @ batch 48
[train] planned frames seen = 1440000 = 21.50 epochs

=== stage1 | steps=1650 batch=48 trainable: head=99.88M backbone=0.0M ===
[stage2] step   9249 | mse=0.1192 L1=0.1457 PH=0.0000 total=0.1192 | VRAM=53.6GB | 0.671s/it
[stage2] step   9449 | mse=0.1163 L1=0.1463 PH=0.0000 total=0.1163 | VRAM=53.6GB | 0.670s/it
[stage2] step   9649 | mse=0.1141 L1=0.1461 PH=0.0000 total=0.1141 | VRAM=53.6GB | 0.670s/it
[stage2] step   9849 | mse=0.1156 L1=0.1425 PH=0.0000 total=0.1156 | VRAM=53.6GB | 0.669s/it
[stage2] step  10049 | mse=0.1133 L1=0.1421 PH=0.0000 total=0.1133 | VRAM=53.6GB | 0.668s/it
[stage2] step  10249 | mse=0.1115 L1=0.1406 PH=0.0000 total=0.1115 | VRAM=53.6GB | 0.670s/it
[stage2] step  10449 | mse=0.1090 L1=0.1390 PH=0.0000 total=0.1090 | VRAM=53.6GB | 0.669s/it
[stage2] step  10649 | mse=0.1080 L1=0.1397 PH=0.0000 total=0.1080 | VRAM=53.6GB | 0.670s/it
[stage2] step  10849 | mse=0.1058 L1=0.1402 PH=0.0000 total=0.1058 | VRAM=53.6GB | 0.671s/it
[stage2] step  11049 | mse=0.1034 L1=0.1381 PH=0.0000 total=0.1034 | VRAM=53.6GB | 0.670s/it
[stage2] step  11249 | mse=0.1042 L1=0.1365 PH=0.0000 total=0.1042 | VRAM=53.6GB | 0.670s/it
[stage2] step  11449 | mse=0.1037 L1=0.1351 PH=0.0000 total=0.1037 | VRAM=53.6GB | 0.667s/it
[stage2] step  11649 | mse=0.1009 L1=0.1345 PH=0.0000 total=0.1009 | VRAM=53.6GB | 0.668s/it
[ckpt] saved -> ../paper_repro/Object/runs/flow_s0/checkpoints/11650  (EMA weights)
[stage2] step  11849 | mse=0.0999 L1=0.1338 PH=0.0000 total=0.0999 | VRAM=53.6GB | 0.669s/it
[stage2] step  12049 | mse=0.0996 L1=0.1319 PH=0.0000 total=0.0996 | VRAM=53.6GB | 0.668s/it
[stage2] step  12249 | mse=0.0963 L1=0.1332 PH=0.0000 total=0.0963 | VRAM=53.6GB | 0.666s/it
[stage2] step  12449 | mse=0.0974 L1=0.1321 PH=0.0000 total=0.0974 | VRAM=53.6GB | 1.394s/it
[stage2] step  12649 | mse=0.0963 L1=0.1309 PH=0.0000 total=0.0963 | VRAM=53.6GB | 2.551s/it
[stage2] step  12849 | mse=0.0937 L1=0.1302 PH=0.0000 total=0.0937 | VRAM=53.6GB | 0.669s/it
[stage2] step  13049 | mse=0.0941 L1=0.1293 PH=0.0000 total=0.0941 | VRAM=53.6GB | 0.671s/it
[stage2] step  13249 | mse=0.0926 L1=0.1287 PH=0.0000 total=0.0926 | VRAM=53.6GB | 0.670s/it
[stage2] step  13449 | mse=0.0916 L1=0.1289 PH=0.0000 total=0.0916 | VRAM=53.6GB | 0.670s/it
[stage2] step  13649 | mse=0.0927 L1=0.1295 PH=0.0000 total=0.0927 | VRAM=53.6GB | 0.670s/it
[stage2] step  13849 | mse=0.0924 L1=0.1253 PH=0.0000 total=0.0924 | VRAM=53.6GB | 0.671s/it
[stage2] step  14049 | mse=0.0903 L1=0.1275 PH=0.0000 total=0.0903 | VRAM=53.6GB | 0.674s/it
[stage2] step  14249 | mse=0.0889 L1=0.1271 PH=0.0000 total=0.0889 | VRAM=53.6GB | 0.669s/it
[stage2] step  14449 | mse=0.0865 L1=0.1286 PH=0.0000 total=0.0865 | VRAM=53.6GB | 0.668s/it
[stage2] step  14649 | mse=0.0878 L1=0.1269 PH=0.0000 total=0.0878 | VRAM=53.6GB | 0.669s/it
[stage2] step  14849 | mse=0.0851 L1=0.1257 PH=0.0000 total=0.0851 | VRAM=53.6GB | 0.669s/it
[stage2] step  15049 | mse=0.0859 L1=0.1246 PH=0.0000 total=0.0859 | VRAM=53.6GB | 0.670s/it
[stage2] step  15249 | mse=0.0867 L1=0.1247 PH=0.0000 total=0.0867 | VRAM=53.6GB | 0.669s/it
[stage2] step  15449 | mse=0.0839 L1=0.1232 PH=0.0000 total=0.0839 | VRAM=53.6GB | 0.671s/it
[stage2] step  15649 | mse=0.0851 L1=0.1238 PH=0.0000 total=0.0851 | VRAM=53.6GB | 0.666s/it
[stage2] step  15849 | mse=0.0827 L1=0.1243 PH=0.0000 total=0.0827 | VRAM=53.6GB | 0.668s/it
[stage2] step  16049 | mse=0.0844 L1=0.1224 PH=0.0000 total=0.0844 | VRAM=53.6GB | 0.667s/it
[stage2] step  16249 | mse=0.0817 L1=0.1227 PH=0.0000 total=0.0817 | VRAM=53.6GB | 0.667s/it
[stage2] step  16449 | mse=0.0811 L1=0.1212 PH=0.0000 total=0.0811 | VRAM=53.6GB | 0.666s/it
[stage2] step  16649 | mse=0.0837 L1=0.1218 PH=0.0000 total=0.0837 | VRAM=53.6GB | 0.668s/it
[stage2] step  16849 | mse=0.0798 L1=0.1213 PH=0.0000 total=0.0798 | VRAM=53.6GB | 0.668s/it
[stage2] step  17049 | mse=0.0800 L1=0.1225 PH=0.0000 total=0.0800 | VRAM=53.6GB | 0.669s/it
[stage2] step  17249 | mse=0.0794 L1=0.1203 PH=0.0000 total=0.0794 | VRAM=53.6GB | 0.670s/it
[stage2] step  17449 | mse=0.0778 L1=0.1204 PH=0.0000 total=0.0778 | VRAM=53.6GB | 0.668s/it
[stage2] step  17649 | mse=0.0785 L1=0.1200 PH=0.0000 total=0.0785 | VRAM=53.6GB | 0.669s/it
[stage2] step  17849 | mse=0.0770 L1=0.1200 PH=0.0000 total=0.0770 | VRAM=53.6GB | 0.669s/it
[stage2] step  18049 | mse=0.0779 L1=0.1184 PH=0.0000 total=0.0779 | VRAM=53.6GB | 0.667s/it
[stage2] step  18249 | mse=0.0785 L1=0.1195 PH=0.0000 total=0.0785 | VRAM=53.6GB | 0.670s/it
[stage2] step  18449 | mse=0.0770 L1=0.1166 PH=0.0000 total=0.0770 | VRAM=53.6GB | 0.668s/it
[stage2] step  18649 | mse=0.0753 L1=0.1184 PH=0.0000 total=0.0753 | VRAM=53.6GB | 0.667s/it
[stage2] step  18849 | mse=0.0756 L1=0.1194 PH=0.0000 total=0.0756 | VRAM=53.6GB | 0.667s/it
[stage2] step  19049 | mse=0.0764 L1=0.1187 PH=0.0000 total=0.0764 | VRAM=53.6GB | 0.668s/it
[stage2] step  19249 | mse=0.0750 L1=0.1182 PH=0.0000 total=0.0750 | VRAM=53.6GB | 0.669s/it
[stage2] step  19449 | mse=0.0727 L1=0.1159 PH=0.0000 total=0.0727 | VRAM=53.6GB | 0.668s/it
[stage2] step  19649 | mse=0.0751 L1=0.1169 PH=0.0000 total=0.0751 | VRAM=53.6GB | 0.668s/it
[stage2] step  19849 | mse=0.0732 L1=0.1151 PH=0.0000 total=0.0732 | VRAM=53.6GB | 4.571s/it
[stage2] step  20049 | mse=0.0730 L1=0.1153 PH=0.0000 total=0.0730 | VRAM=53.6GB | 4.220s/it
[stage2] step  20249 | mse=0.0724 L1=0.1147 PH=0.0000 total=0.0724 | VRAM=53.6GB | 2.487s/it
[stage2] step  20449 | mse=0.0724 L1=0.1155 PH=0.0000 total=0.0724 | VRAM=53.6GB | 1.702s/it
[stage2] step  20649 | mse=0.0723 L1=0.1163 PH=0.0000 total=0.0723 | VRAM=53.6GB | 0.671s/it
[stage2] step  20849 | mse=0.0723 L1=0.1148 PH=0.0000 total=0.0723 | VRAM=53.6GB | 0.670s/it
