step,epoch,l1_loss,kld_loss,total_loss,ph_active_frac,ph_gate,lr,vram_gb,step_s
78,0,0.4485,0.3054,3.5028,0,-,1.56e-05,9.27,0.1069
79,0,0.3875,0.3399,3.7863,0,-,1.58e-05,9.27,0.112
80,0,0.4618,0.3206,3.668,0,-,1.6000000000000003e-05,9.27,0.0994
81,0,0.4035,0.3019,3.4224,0,-,1.62e-05,9.27,0.1053
82,0,0.4154,0.3148,3.5639,0,-,1.6400000000000002e-05,9.27,0.1082
83,0,0.4262,0.2999,3.4257,0,-,1.66e-05,9.27,0.1046
84,0,0.452,0.3065,3.5168,0,-,1.6800000000000002e-05,9.27,0.109
85,0,0.4278,0.2844,3.272,0,-,1.7000000000000003e-05,9.27,0.1045
86,0,0.4096,0.284,3.2497,0,-,1.7199999999999998e-05,9.27,0.113
87,0,0.4277,0.2976,3.4041,0,-,1.74e-05,9.28,0.1037
88,0,0.4116,0.2782,3.194,0,-,1.76e-05,9.27,0.1108
89,0,0.4745,0.274,3.2144,0,-,1.78e-05,9.28,0.1078
90,0,0.4298,0.2965,3.395,0,-,1.8e-05,9.27,0.1127
91,0,0.3754,0.303,3.4058,0,-,1.8200000000000002e-05,9.27,0.1047
92,0,0.4142,0.2736,3.15,0,-,1.84e-05,9.27,0.1087
93,0,0.3882,0.2709,3.0968,0,-,1.86e-05,9.27,0.102
94,0,0.435,0.2669,3.1039,0,-,1.88e-05,9.27,0.108
95,0,0.4826,0.2693,3.1754,0,-,1.9e-05,9.27,0.1068
96,0,0.4004,0.2766,3.1662,0,-,1.9200000000000003e-05,9.27,0.1117
97,0,0.3572,0.266,3.0176,0,-,1.94e-05,9.27,23.9538
98,0,0.4684,0.264,3.1084,0,-,1.9600000000000002e-05,9.26,0.109
99,0,0.3663,0.2498,2.8639,0,-,1.9800000000000004e-05,9.27,0.1076
100,0,0.4157,0.2544,2.96,0,-,2e-05,9.26,0.1052
101,0,0.4403,0.2495,2.9349,0,-,2.0200000000000003e-05,9.28,0.1154
102,0,0.3926,0.2469,2.8617,0,-,2.04e-05,9.27,0.1084
103,0,0.4276,0.2533,2.9609,0,-,2.06e-05,9.27,0.1065
104,0,0.3817,0.2443,2.825,0,-,2.08e-05,9.28,0.1019
105,0,0.4484,0.2482,2.9305,0,-,2.1e-05,9.27,0.1173
106,0,0.4379,0.2443,2.8804,0,-,2.12e-05,9.27,0.1075
107,0,0.455,0.246,2.9153,0,-,2.1400000000000002e-05,9.27,0.1047
108,0,0.3897,0.252,2.9095,0,-,2.16e-05,9.27,0.1088
109,0,0.4437,0.2446,2.8901,0,-,2.18e-05,9.27,0.1362
110,0,0.4849,0.2354,2.8386,0,-,2.2000000000000003e-05,9.27,0.1071
111,0,0.4597,0.2514,2.974,0,-,2.22e-05,9.27,0.1014
112,0,0.4148,0.2381,2.7963,0,-,2.2400000000000002e-05,9.28,0.1099
113,0,0.4907,0.2299,2.7896,0,-,2.26e-05,9.28,0.1113
114,0,0.3844,0.2492,2.876,0,-,2.2800000000000002e-05,9.28,0.1082
115,0,0.3974,0.2484,2.8816,0,-,2.3000000000000003e-05,9.28,0.1041
116,0,0.389,0.2444,2.8328,0,-,2.32e-05,9.28,0.1057
117,0,0.4334,0.2221,2.6541,0,-,2.3400000000000003e-05,9.27,0.1158
118,0,0.4917,0.2305,2.797,0,-,2.36e-05,9.27,0.1006
119,0,0.4851,0.2267,2.752,0,-,2.38e-05,9.27,0.1068
120,0,0.449,0.2147,2.5959,0,-,2.4e-05,9.27,0.1035
121,0,0.3752,0.2267,2.6419,0,-,2.4200000000000002e-05,9.26,0.1131
122,0,0.4302,0.2267,2.6968,0,-,2.44e-05,9.26,0.0997
123,0,0.4477,0.2365,2.8129,0,-,2.46e-05,9.27,0.1163
124,0,0.3706,0.2296,2.6661,0,-,2.48e-05,9.27,0.1029
125,0,0.4321,0.2283,2.715,0,-,2.5e-05,9.26,0.1121
126,0,0.4413,0.2245,2.6865,0,-,2.5200000000000003e-05,9.26,0.1016
127,0,0.4407,0.2218,2.6585,0,-,2.54e-05,9.27,0.1205
128,0,0.4893,0.2148,2.637,0,-,2.5600000000000002e-05,9.27,0.104
129,0,0.4471,0.2134,2.5813,0,-,2.58e-05,9.27,21.0124
130,0,0.4396,0.2169,2.6088,0,-,2.6000000000000002e-05,9.27,0.1023
131,0,0.3616,0.21,2.462,0,-,2.6200000000000003e-05,9.27,2.8049
132,0,0.4108,0.2251,2.6616,0,-,2.64e-05,9.26,0.0976
133,0,0.396,0.2233,2.6286,0,-,2.6600000000000003e-05,9.27,0.1086
134,0,0.3909,0.2104,2.4952,0,-,2.6800000000000004e-05,9.27,0.1066
135,0,0.4036,0.2168,2.5718,0,-,2.7000000000000002e-05,9.27,0.1129
136,0,0.3971,0.2211,2.6084,0,-,2.7200000000000004e-05,9.27,0.0983
137,0,0.4689,0.2144,2.6131,0,-,2.7400000000000002e-05,9.28,0.1066
138,0,0.3841,0.2084,2.4681,0,-,2.7600000000000003e-05,9.27,0.1146
139,0,0.4248,0.2035,2.46,0,-,2.7800000000000005e-05,9.28,0.1068
140,0,0.4254,0.2145,2.5707,0,-,2.8000000000000003e-05,9.27,0.104
141,0,0.4734,0.2017,2.4908,0,-,2.8199999999999998e-05,9.27,0.1079
142,0,0.3903,0.2162,2.5519,0,-,2.84e-05,9.27,0.1057
143,0,0.4276,0.2077,2.5047,0,-,2.86e-05,9.27,0.1071
144,0,0.4357,0.2072,2.5078,0,-,2.88e-05,9.26,0.1033
145,0,0.4556,0.2026,2.4816,0,-,2.9e-05,9.28,0.1101
146,0,0.4577,0.2009,2.467,0,-,2.9199999999999998e-05,9.27,0.1049
147,0,0.4365,0.2075,2.5113,0,-,2.94e-05,9.27,0.1106
148,0,0.4065,0.202,2.4268,0,-,2.96e-05,9.26,0.1038
149,0,0.4325,0.2011,2.443,0,-,2.98e-05,9.26,0.1177
150,0,0.4341,0.2075,2.509,0,-,3e-05,9.27,0.0987
151,0,0.4894,0.1922,2.4116,0,-,3.02e-05,9.27,0.1031
152,0,0.4714,0.1983,2.4545,0,-,3.04e-05,9.26,3.0927
153,0,0.4081,0.2004,2.4121,0,-,3.06e-05,9.26,0.1238
154,0,0.465,0.1958,2.4232,0,-,3.08e-05,9.26,0.0956
155,0,0.4018,0.1909,2.3112,0,-,3.1e-05,9.26,0.1046
156,0,0.436,0.1953,2.3892,0,-,3.12e-05,9.27,0.1069
157,0,0.4511,0.1951,2.4017,0,-,3.1400000000000004e-05,9.27,0.1064
158,0,0.4691,0.1891,2.3596,0,-,3.16e-05,9.26,0.125
159,0,0.4742,0.176,2.2346,0,-,3.18e-05,9.27,0.1053
160,0,0.4085,0.1899,2.308,0,-,3.2000000000000005e-05,9.27,0.1184
161,0,0.3821,0.1902,2.2841,0,-,3.2200000000000003e-05,9.27,23.9223
162,0,0.411,0.1888,2.2991,0,-,3.24e-05,9.27,0.1126
163,0,0.4235,0.1993,2.4164,0,-,3.26e-05,9.27,0.2231
164,0,0.458,0.1863,2.3206,0,-,3.2800000000000004e-05,9.27,0.1149
165,0,0.3674,0.1788,2.1558,0,-,3.3e-05,9.27,0.1016
166,0,0.421,0.196,2.3808,0,-,3.32e-05,9.27,0.1087
167,0,0.5091,0.1843,2.3519,0,-,3.3400000000000005e-05,9.27,0.1157
168,0,0.3826,0.1875,2.2574,0,-,3.3600000000000004e-05,9.27,0.1092
169,0,0.4266,0.1886,2.3123,0,-,3.38e-05,9.27,0.1223
170,0,0.482,0.1824,2.3058,0,-,3.4000000000000007e-05,9.27,0.0933
171,0,0.4208,0.1875,2.2959,0,-,3.4200000000000005e-05,9.27,0.1057
172,0,0.3757,0.1739,2.1143,0,-,3.4399999999999996e-05,9.26,0.1042
173,0,0.478,0.172,2.1982,0,-,3.46e-05,9.27,0.1162
174,0,0.4201,0.1747,2.167,0,-,3.48e-05,9.26,0.1101
175,0,0.4393,0.1794,2.2336,0,-,3.5e-05,9.27,0.1016
176,0,0.4175,0.189,2.3075,0,-,3.52e-05,9.27,0.1021
177,0,0.4671,0.1842,2.3088,0,-,3.54e-05,9.27,0.1115
178,0,0.4288,0.1802,2.2313,0,-,3.56e-05,9.28,0.1366
179,0,0.4044,0.1698,2.1027,0,-,3.58e-05,9.28,0.1008
180,0,0.4315,0.1912,2.3439,0,-,3.6e-05,9.27,0.1031
181,0,0.3984,0.1833,2.2315,0,-,3.62e-05,9.27,0.1062
182,0,0.4188,0.183,2.249,0,-,3.6400000000000004e-05,9.27,0.1145
183,0,0.4594,0.1765,2.2245,0,-,3.66e-05,9.27,0.102
184,0,0.4715,0.174,2.2113,0,-,3.68e-05,9.27,0.1033
185,0,0.4411,0.179,2.2316,0,-,3.7e-05,9.27,0.1036
186,0,0.4149,0.1764,2.1789,0,-,3.72e-05,9.27,0.1236
187,0,0.3615,0.1828,2.1891,0,-,3.74e-05,9.28,0.1081
188,0,0.352,0.1778,2.1296,0,-,3.76e-05,9.27,0.097
189,0,0.4053,0.1803,2.2084,0,-,3.7800000000000004e-05,9.27,0.1071
190,0,0.4117,0.1634,2.046,0,-,3.8e-05,9.27,0.1146
191,0,0.4027,0.1683,2.0857,0,-,3.82e-05,9.27,0.1089
192,0,0.3675,0.1675,2.0428,0,-,3.8400000000000005e-05,9.27,0.0987
193,0,0.444,0.1752,2.196,0,-,3.86e-05,9.27,27.5938
194,0,0.4532,0.1648,2.101,0,-,3.88e-05,9.28,0.1087
195,0,0.4104,0.1735,2.1455,0,-,3.9000000000000006e-05,9.27,0.7942
196,0,0.4643,0.178,2.2443,0,-,3.9200000000000004e-05,9.27,0.1177
197,0,0.4443,0.1655,2.0993,0,-,3.94e-05,9.27,0.1319
198,0,0.481,0.1645,2.1257,0,-,3.960000000000001e-05,9.27,0.1596
199,0,0.4226,0.1728,2.1503,0,-,3.9800000000000005e-05,9.27,0.2097
200,0,0.4672,0.1665,2.1323,0,-,4e-05,9.27,0.1515
201,0,0.4325,0.1643,2.0757,0,-,4.02e-05,9.28,0.1912
202,0,0.3813,0.1677,2.0584,0,-,4.0400000000000006e-05,9.28,0.1498
203,0,0.461,0.1647,2.1076,0,-,4.0600000000000004e-05,9.28,0.1353
204,0,0.4104,0.1676,2.0868,0,-,4.08e-05,9.27,0.1321
205,0,0.4344,0.1662,2.0961,0,-,4.1e-05,9.27,0.1592
206,0,0.3902,0.1702,2.0922,0,-,4.12e-05,9.27,0.1391
207,0,0.4432,0.1655,2.0983,0,-,4.14e-05,9.27,0.1301
208,0,0.4007,0.1668,2.0686,0,-,4.16e-05,9.26,0.1628
209,0,0.4716,0.1603,2.0744,0,-,4.18e-05,9.27,0.1622
210,0,0.3968,0.1658,2.0547,0,-,4.2e-05,9.27,0.1171
211,0,0.4471,0.1604,2.0508,0,-,4.22e-05,9.27,0.1397
212,0,0.4308,0.1676,2.1064,0,-,4.24e-05,9.28,0.1442
